run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
Random_matmul_B120_s0_a7f6b4f,Random,matmul,bambu,120,0,,N/A,0,0,0,0,120,17,103,14.2,area,429.0,429.0,9,10,17.12,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s1_0542b17,Random,matmul,bambu,120,1,,N/A,0,0,0,0,120,17,103,14.2,area,430.0,430.0,9,11,2.89,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s2_8c2d569,Random,matmul,bambu,120,2,,N/A,0,0,0,0,120,14,106,11.7,area,430.0,430.0,10,9,74.97,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s3_7815e3d,Random,matmul,bambu,120,3,,N/A,0,0,0,0,120,15,105,12.5,area,430.0,430.0,9,10,65.34,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s4_bcca7f9,Random,matmul,bambu,120,4,,N/A,0,0,0,0,120,13,107,10.8,area,429.0,429.0,9,10,2.46,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s5_b6b0e21,Random,matmul,bambu,120,5,,N/A,0,0,0,0,120,17,103,14.2,area,429.0,429.0,9,12,29.39,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s6_0152251,Random,matmul,bambu,120,6,,N/A,0,0,0,0,120,18,102,15.0,area,430.0,430.0,9,8,4.99,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s7_0936126,Random,matmul,bambu,120,7,,N/A,0,0,0,0,120,13,107,10.8,area,430.0,430.0,9,6,15.5,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s8_0f931a4,Random,matmul,bambu,120,8,,N/A,0,0,0,0,120,21,99,17.5,area,430.0,430.0,9,13,3.27,0,0,0,,0,0,0,0,0,0
Random_matmul_B120_s9_cbdbfcd,Random,matmul,bambu,120,9,,N/A,0,0,0,0,120,19,101,15.8,area,429.0,429.0,9,11,12.83,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B120_s0_df6f66f,Filtered_Random,matmul,bambu,120,0,,N/A,0,0,0,0,120,24,96,20.0,area,430.0,430.0,9,12,19.65,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B120_s1_9356cbb,Filtered_Random,matmul,bambu,120,1,,N/A,0,0,0,0,120,26,94,21.7,area,430.0,430.0,9,13,9.84,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B120_s2_3e54703,Filtered_Random,matmul,bambu,120,2,,N/A,0,0,0,0,120,23,97,19.2,area,429.0,429.0,9,14,2.46,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B120_s3_18d7475,Filtered_Random,matmul,bambu,120,3,,N/A,0,0,0,0,120,26,94,21.7,area,429.0,429.0,9,13,2.5,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B120_s4_95ab51d,Filtered_Random,matmul,bambu,120,4,,N/A,0,0,0,0,120,22,98,18.3,area,429.0,429.0,9,14,14.69,0,0,0,,0,0,0,0,0,0
