run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_no-filter_matmul_B30_sNone_6017192,PA-DSE_no-filter,matmul,bambu,30,,0,no-filter,2,0.8,5,0.05,30,7,23,23.3,area,444.0,444.0,9,6,18.713,112.001,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_no-filter_matmul_B30_sNone_6129193,PA-DSE_no-filter,matmul,bambu,30,,1,no-filter,2,0.8,5,0.05,30,4,26,13.3,area,430.0,430.0,11,4,5.013,84.208,0,0,,0,0,0,0.01,0.00,0.00
PA-DSE_no-filter_matmul_B30_sNone_6213401,PA-DSE_no-filter,matmul,bambu,30,,2,no-filter,2,0.8,5,0.05,30,0,30,0.0,area,,,,0,,106.744,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_SCF-only_matmul_B30_sNone_6320145,PA-DSE_SCF-only,matmul,bambu,30,,0,SCF-only,2,0.8,5,0.05,30,4,26,13.3,area,445.0,445.0,10,3,32.773,124.270,0,0,,0,0,0,6.49,0.00,0.00
PA-DSE_SCF-only_matmul_B30_sNone_6444415,PA-DSE_SCF-only,matmul,bambu,30,,1,SCF-only,2,0.8,5,0.05,30,4,26,13.3,area,445.0,445.0,12,4,18.740,105.653,0,0,,0,0,0,5.80,0.00,0.00
PA-DSE_SCF-only_matmul_B30_sNone_6550068,PA-DSE_SCF-only,matmul,bambu,30,,2,SCF-only,2,0.8,5,0.05,30,8,22,26.7,area,444.0,444.0,9,7,4.443,121.179,0,0,,0,0,0,12.74,0.00,0.00
PA-DSE_SCF+RPE_matmul_B30_sNone_6671248,PA-DSE_SCF+RPE,matmul,bambu,30,,0,SCF+RPE,2,0.8,5,0.05,30,17,13,56.7,area,430.0,430.0,9,9,26.837,86.800,211,211,,1,1,0,5.74,7.60,0.05
PA-DSE_SCF+RPE_matmul_B30_sNone_6758048,PA-DSE_SCF+RPE,matmul,bambu,30,,1,SCF+RPE,2,0.8,5,0.05,30,18,12,60.0,area,444.0,444.0,10,8,10.333,120.920,212,212,,1,1,0,5.78,13.89,0.03
PA-DSE_SCF+RPE_matmul_B30_sNone_6878968,PA-DSE_SCF+RPE,matmul,bambu,30,,2,SCF+RPE,2,0.8,5,0.05,30,17,13,56.7,area,444.0,444.0,9,11,5.132,124.481,211,211,,1,1,0,7.69,11.66,0.03
PA-DSE_SCF+OFRS_matmul_B30_sNone_7003449,PA-DSE_SCF+OFRS,matmul,bambu,30,,0,SCF+OFRS,2,0.8,5,0.05,30,24,6,80.0,area,429.0,429.0,9,16,35.195,118.111,0,0,,0,0,0,10.24,5.40,297.20
PA-DSE_SCF+OFRS_matmul_B30_sNone_7121560,PA-DSE_SCF+OFRS,matmul,bambu,30,,1,SCF+OFRS,2,0.8,5,0.05,30,26,4,86.7,area,430.0,430.0,10,10,10.159,109.523,0,0,,0,0,0,5.10,5.12,314.87
PA-DSE_SCF+OFRS_matmul_B30_sNone_7231083,PA-DSE_SCF+OFRS,matmul,bambu,30,,2,SCF+OFRS,2,0.8,5,0.05,30,26,4,86.7,area,429.0,429.0,9,12,2.576,125.360,0,0,,0,0,0,4.77,5.32,366.03
PA-DSE_SCF+DFRL_matmul_B30_sNone_7356444,PA-DSE_SCF+DFRL,matmul,bambu,30,,0,SCF+DFRL,2,0.8,5,0.05,30,24,6,80.0,area,429.0,429.0,9,16,31.586,111.946,0,0,,0,0,0,13.00,6.96,285.40
PA-DSE_SCF+DFRL_matmul_B30_sNone_7468390,PA-DSE_SCF+DFRL,matmul,bambu,30,,1,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,area,430.0,430.0,10,10,11.652,125.757,0,0,,0,0,0,13.29,7.14,377.10
PA-DSE_SCF+DFRL_matmul_B30_sNone_7594146,PA-DSE_SCF+DFRL,matmul,bambu,30,,2,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,area,429.0,429.0,9,12,2.615,92.481,0,0,,0,0,0,4.43,6.43,225.14
PA-DSE_DFRL-only_matmul_B30_sNone_7686628,PA-DSE_DFRL-only,matmul,bambu,30,,0,DFRL-only,2,0.8,5,0.05,30,21,9,70.0,area,496.0,496.0,12,10,15.135,101.665,0,0,,0,0,0,0.01,12.77,382.05
PA-DSE_DFRL-only_matmul_B30_sNone_7788293,PA-DSE_DFRL-only,matmul,bambu,30,,1,DFRL-only,2,0.8,5,0.05,30,26,4,86.7,area,430.0,430.0,10,10,5.754,131.785,0,0,,0,0,0,0.01,10.39,546.08
PA-DSE_DFRL-only_matmul_B30_sNone_7920078,PA-DSE_DFRL-only,matmul,bambu,30,,2,DFRL-only,2,0.8,5,0.05,30,25,5,83.3,area,429.0,429.0,9,17,20.532,118.183,0,0,,0,0,0,0.03,9.90,494.25
PA-DSE_SCF+RPE-reorder_matmul_B30_sNone_8038261,PA-DSE_SCF+RPE-reorder,matmul,bambu,30,,0,SCF+RPE-reorder,2,0.8,5,0.05,30,24,6,80.0,area,429.0,429.0,9,16,34.446,149.000,0,0,,0,0,0,6.49,8.26,338.90
PA-DSE_SCF+RPE-reorder_matmul_B30_sNone_8187261,PA-DSE_SCF+RPE-reorder,matmul,bambu,30,,1,SCF+RPE-reorder,2,0.8,5,0.05,30,26,4,86.7,area,430.0,430.0,10,10,23.906,162.537,0,0,,0,0,0,15.16,8.48,360.41
PA-DSE_SCF+RPE-reorder_matmul_B30_sNone_8349799,PA-DSE_SCF+RPE-reorder,matmul,bambu,30,,2,SCF+RPE-reorder,2,0.8,5,0.05,30,26,4,86.7,area,429.0,429.0,9,12,6.288,160.851,0,0,,0,0,0,18.14,9.25,363.19
PA-DSE_SCF+OFRS-skip_matmul_B30_sNone_8510650,PA-DSE_SCF+OFRS-skip,matmul,bambu,30,,0,SCF+OFRS-skip,2,0.8,5,0.05,1,0,1,0.0,area,,,,0,,4.860,279,279,,0,0,0,5.61,3.75,0.64
PA-DSE_SCF+OFRS-skip_matmul_B30_sNone_8515510,PA-DSE_SCF+OFRS-skip,matmul,bambu,30,,1,SCF+OFRS-skip,2,0.8,5,0.05,1,0,1,0.0,area,,,,0,,6.848,279,279,,0,0,0,16.49,3.48,0.73
