run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_no-filter_gcd_B30_sNone_6027213,PA-DSE_no-filter,gcd,dynamatic,30,,0,no-filter,2,0.8,5,0.05,30,16,14,53.3,component_count,44.0,44.0,531,9,7.872,446.829,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_no-filter_gcd_B30_sNone_6474042,PA-DSE_no-filter,gcd,dynamatic,30,,1,no-filter,2,0.8,5,0.05,30,13,17,43.3,component_count,43.0,43.0,525,9,12.577,225.709,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_no-filter_gcd_B30_sNone_6699750,PA-DSE_no-filter,gcd,dynamatic,30,,2,no-filter,2,0.8,5,0.05,30,19,11,63.3,component_count,43.0,43.0,575,4,11.919,277.634,0,0,,0,0,0,0.01,0.00,0.00
PA-DSE_SCF-only_gcd_B30_sNone_6977384,PA-DSE_SCF-only,gcd,dynamatic,30,,0,SCF-only,2,0.8,5,0.05,30,16,14,53.3,component_count,44.0,44.0,531,9,7.373,442.295,0,0,,0,0,0,0.46,0.00,0.00
PA-DSE_SCF-only_gcd_B30_sNone_7419680,PA-DSE_SCF-only,gcd,dynamatic,30,,1,SCF-only,2,0.8,5,0.05,30,13,17,43.3,component_count,43.0,43.0,525,9,12.589,225.579,0,0,,0,0,0,0.39,0.00,0.00
PA-DSE_SCF-only_gcd_B30_sNone_7645258,PA-DSE_SCF-only,gcd,dynamatic,30,,2,SCF-only,2,0.8,5,0.05,30,19,11,63.3,component_count,43.0,43.0,575,4,11.987,278.128,0,0,,0,0,0,0.32,0.00,0.00
PA-DSE_SCF+RPE_gcd_B30_sNone_7923386,PA-DSE_SCF+RPE,gcd,dynamatic,30,,0,SCF+RPE,2,0.8,5,0.05,30,15,15,50.0,component_count,44.0,44.0,531,9,7.521,564.673,0,0,,0,0,0,0.34,5.52,0.04
PA-DSE_SCF+RPE_gcd_B30_sNone_8488059,PA-DSE_SCF+RPE,gcd,dynamatic,30,,1,SCF+RPE,2,0.8,5,0.05,30,12,18,40.0,component_count,43.0,43.0,525,8,15.634,307.194,0,0,,0,0,0,0.57,5.81,0.04
PA-DSE_SCF+RPE_gcd_B30_sNone_8795254,PA-DSE_SCF+RPE,gcd,dynamatic,30,,2,SCF+RPE,2,0.8,5,0.05,30,19,11,63.3,component_count,43.0,43.0,575,4,17.785,333.949,0,0,,0,0,0,0.57,5.30,0.06
PA-DSE_SCF+OFRS_gcd_B30_sNone_9129203,PA-DSE_SCF+OFRS,gcd,dynamatic,30,,0,SCF+OFRS,2,0.8,5,0.05,30,24,6,80.0,component_count,43.0,43.0,535,4,9.966,608.630,0,0,,0,0,0,0.58,3.67,98.19
PA-DSE_SCF+OFRS_gcd_B30_sNone_9737832,PA-DSE_SCF+OFRS,gcd,dynamatic,30,,1,SCF+OFRS,2,0.8,5,0.05,30,25,5,83.3,component_count,43.0,43.0,549,6,17.656,378.605,0,0,,0,0,0,0.33,3.60,101.30
PA-DSE_SCF+OFRS_gcd_B30_sNone_116437,PA-DSE_SCF+OFRS,gcd,dynamatic,30,,2,SCF+OFRS,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,587,3,16.019,153.867,0,0,,0,0,0,0.53,3.48,93.16
PA-DSE_SCF+DFRL_gcd_B30_sNone_270305,PA-DSE_SCF+DFRL,gcd,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,24,6,80.0,component_count,43.0,43.0,535,4,10.156,606.496,0,0,,0,0,0,0.39,4.42,88.56
PA-DSE_SCF+DFRL_gcd_B30_sNone_876801,PA-DSE_SCF+DFRL,gcd,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,25,5,83.3,component_count,43.0,43.0,549,6,17.535,384.813,0,0,,0,0,0,0.53,4.73,93.66
PA-DSE_SCF+DFRL_gcd_B30_sNone_1261614,PA-DSE_SCF+DFRL,gcd,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,587,3,16.124,151.295,0,0,,0,0,0,0.57,6.38,90.58
PA-DSE_DFRL-only_gcd_B30_sNone_1412908,PA-DSE_DFRL-only,gcd,dynamatic,30,,0,DFRL-only,2,0.8,5,0.05,30,24,6,80.0,component_count,43.0,43.0,535,4,10.296,616.606,0,0,,0,0,0,0.00,5.03,100.93
PA-DSE_DFRL-only_gcd_B30_sNone_2029515,PA-DSE_DFRL-only,gcd,dynamatic,30,,1,DFRL-only,2,0.8,5,0.05,30,25,5,83.3,component_count,43.0,43.0,549,6,17.970,378.865,0,0,,0,0,0,0.00,5.52,89.09
PA-DSE_DFRL-only_gcd_B30_sNone_2408380,PA-DSE_DFRL-only,gcd,dynamatic,30,,2,DFRL-only,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,587,3,15.140,143.924,0,0,,0,0,0,0.00,4.81,101.79
PA-DSE_SCF+RPE-reorder_gcd_B30_sNone_2552305,PA-DSE_SCF+RPE-reorder,gcd,dynamatic,30,,0,SCF+RPE-reorder,2,0.8,5,0.05,30,24,6,80.0,component_count,43.0,43.0,535,4,10.986,621.016,0,0,,0,0,0,0.60,4.67,103.69
