id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
160,bambu,10,True,4.0,ALL_BRAM,MEM_ACC_NN,1,13.0,11.0,118.48341232227484,1.5599999999999963,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,20.45,False,LHS 20%
43,bambu,15,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.03,False,LHS 20%
49,bambu,20,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,2.87,False,LHS 20%
95,bambu,5,True,4.0,NO_BRAM,MEM_ACC_NN,2,14.0,14.0,220.33226104966292,0.4614000000000005,544.0,509.0,35.0,3.0,417.0,40.0,14.0,6.0,20.68,False,LHS 20%
101,bambu,8,True,1.0,ALL_BRAM,MEM_ACC_NN,2,11.0,9.0,158.30299192654743,1.683000000000001,,,,,,,,,20.38,False,LHS 20%
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.3910853689249,1.646400000000008,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,14.02,True,LHS 20%
119,bambu,8,True,2.0,NO_BRAM,MEM_ACC_NN,2,13.0,13.0,158.30299192654743,1.683000000000001,544.0,509.0,35.0,3.0,417.0,40.0,14.0,6.0,14.55,False,LHS 20%
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,71.67122973495982,1.0474000000000043,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,20.55,True,LHS 20%
199,bambu,15,True,4.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.51,False,LHS 20%
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,12.0,13.0,93.47891115764283,4.3024,344.0,308.0,36.0,3.0,385.0,39.0,13.0,7.0,20.45,True,LHS 20%
212,bambu,20,True,1.0,NO_BRAM,MEM_ACC_N1,1,10.0,11.0,87.77165326686095,8.606800000000002,,,,,,,,,20.87,False,LHS 20%
35,bambu,10,False,,NO_BRAM,MEM_ACC_NN,2,12.0,12.0,118.48341232227494,1.5600000000000034,544.0,509.0,35.0,3.0,417.0,40.0,14.0,6.0,18.66,True,LHS 20%
154,bambu,10,True,2.0,NO_BRAM,MEM_ACC_NN,1,13.0,14.0,118.48341232227484,1.5599999999999963,411.0,375.0,36.0,3.0,417.0,39.0,14.0,7.0,20.74,False,LHS 20%
123,bambu,8,True,4.0,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.3910853689249,1.646400000000008,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,20.89,False,LHS 20%
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,15.0,16.0,220.33226104966292,0.4614000000000005,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,21.08,True,LHS 20%
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.88,False,LHS 20%
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,13.0,11.0,118.48341232227484,1.5599999999999963,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,20.18,True,LHS 20%
61,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.83,False,LHS 20%
65,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_NN,2,13.0,11.0,218.40737343292707,0.42139999999999955,,,,,,,,,19.27,False,LHS 20%
139,bambu,10,True,1.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.22,False,LHS 20%
166,bambu,10,True,4.0,NO_BRAM,MEM_ACC_NN,1,13.0,14.0,118.48341232227484,1.5599999999999963,411.0,375.0,36.0,3.0,417.0,39.0,14.0,7.0,12.79,False,LHS 20%
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,15.0,16.0,220.33226104966292,0.4614000000000005,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,20.59,True,LHS 20%
153,bambu,10,True,2.0,NO_BRAM,MEM_ACC_N1,2,13.0,14.0,118.48341232227484,1.5599999999999963,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,20.26,False,LHS 20%
56,bambu,20,False,,NO_BRAM,MEM_ACC_N1,1,12.0,13.0,93.47891115764297,9.302400000000015,344.0,308.0,36.0,3.0,385.0,39.0,13.0,7.0,20.32,True,LHS 20%
195,bambu,15,True,4.0,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,71.67122973495982,1.0474000000000043,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,20.68,False,LHS 20%
178,bambu,15,True,1.0,NO_BRAM,MEM_ACC_NN,1,10.0,11.0,87.77165326686094,3.6068000000000007,,,,,,,,,20.79,False,LHS 20%
191,bambu,15,True,2.0,NO_BRAM,MEM_ACC_NN,2,11.0,11.0,93.47891115764283,4.3024,544.0,509.0,35.0,3.0,385.0,40.0,13.0,6.0,19.53,False,LHS 20%
149,bambu,10,True,2.0,ALL_BRAM,MEM_ACC_NN,2,12.0,10.0,118.48341232227484,1.5599999999999963,277.0,243.0,34.0,3.0,385.0,40.0,13.0,5.0,21.55,False,LHS 20%
115,bambu,8,True,2.0,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.43,False,LHS 20%
62,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737343292707,0.42139999999999955,,,,,,,,,20.51,False,LHS 20%
124,bambu,8,True,4.0,ALL_BRAM,MEM_ACC_NN,1,14.0,12.0,152.79772636983174,1.4554000000000056,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,20.49,False,LHS 20%
