id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy,benchmark,error_type,pruned_by_autophagy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,16.0,14.0,220.33226104966292,0.4614000000000005,277.0,242.0,35.0,3.0,417.0,39.0,14.0,6.0,20.5,True,PA-DSE,fir,,False
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,16.0,14.0,220.33226104966292,0.4614000000000005,277.0,242.0,35.0,3.0,417.0,39.0,14.0,6.0,21.7,True,PA-DSE,fir,,False
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,16.0,14.0,220.33226104966292,0.4614000000000005,277.0,242.0,35.0,3.0,417.0,39.0,14.0,6.0,19.15,True,PA-DSE,fir,,False
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,15.0,13.0,220.33226104966292,0.4614000000000005,277.0,243.0,34.0,3.0,417.0,40.0,14.0,5.0,14.68,True,PA-DSE,fir,,False
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,15.0,16.0,220.33226104966292,0.4614000000000005,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,17.92,True,PA-DSE,fir,,False
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,15.0,16.0,220.33226104966292,0.4614000000000005,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,23.18,True,PA-DSE,fir,,False
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,15.0,16.0,220.33226104966292,0.4614000000000005,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,20.86,True,PA-DSE,fir,,False
11,bambu,5,False,,NO_BRAM,MEM_ACC_NN,2,14.0,14.0,220.33226104966292,0.4614000000000005,544.0,509.0,35.0,3.0,417.0,40.0,14.0,6.0,22.51,True,PA-DSE,fir,,False
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,157.3910853689249,1.646400000000008,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,20.78,True,PA-DSE,fir,,False
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,157.3910853689249,1.646400000000008,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,21.12,True,PA-DSE,fir,,False
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.3910853689249,1.646400000000008,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,21.82,True,PA-DSE,fir,,False
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,13.0,11.0,152.79772636983174,1.4554000000000056,277.0,243.0,34.0,3.0,385.0,40.0,13.0,5.0,21.0,True,PA-DSE,fir,,False
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,14.0,15.0,158.30299192654743,1.683000000000001,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,21.31,True,PA-DSE,fir,,False
20,bambu,8,False,,NO_BRAM,MEM_ACC_N1,1,14.0,15.0,158.30299192654743,1.683000000000001,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,17.12,True,PA-DSE,fir,,False
21,bambu,8,False,,NO_BRAM,MEM_ACC_N1,2,14.0,15.0,158.30299192654743,1.683000000000001,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,20.39,True,PA-DSE,fir,,False
23,bambu,8,False,,NO_BRAM,MEM_ACC_NN,2,13.0,13.0,158.30299192654743,1.683000000000001,544.0,509.0,35.0,3.0,417.0,40.0,14.0,6.0,21.01,True,PA-DSE,fir,,False
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,13.0,11.0,118.48341232227484,1.5599999999999963,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,19.91,True,PA-DSE,fir,,False
26,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,1,13.0,11.0,118.48341232227484,1.5599999999999963,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,18.9,True,PA-DSE,fir,,False
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,13.0,11.0,118.48341232227484,1.5599999999999963,277.0,242.0,35.0,3.0,385.0,39.0,13.0,6.0,21.26,True,PA-DSE,fir,,False
29,bambu,10,False,,ALL_BRAM,MEM_ACC_NN,2,12.0,10.0,118.48341232227484,1.5599999999999963,277.0,243.0,34.0,3.0,385.0,40.0,13.0,5.0,20.99,True,PA-DSE,fir,,False
30,bambu,10,False,,NO_BRAM,MEM_ACC_11,1,13.0,14.0,118.48341232227484,1.5599999999999963,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,21.69,True,PA-DSE,fir,,False
32,bambu,10,False,,NO_BRAM,MEM_ACC_N1,1,13.0,14.0,118.48341232227484,1.5599999999999963,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,20.82,True,PA-DSE,fir,,False
33,bambu,10,False,,NO_BRAM,MEM_ACC_N1,2,13.0,14.0,118.48341232227484,1.5599999999999963,344.0,308.0,36.0,3.0,417.0,39.0,14.0,7.0,19.45,True,PA-DSE,fir,,False
35,bambu,10,False,,NO_BRAM,MEM_ACC_NN,2,12.0,12.0,118.48341232227494,1.5600000000000034,544.0,509.0,35.0,3.0,417.0,40.0,14.0,6.0,17.94,True,PA-DSE,fir,,False
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,71.67122973495982,1.0474000000000043,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,20.74,True,PA-DSE,fir,,False
38,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,1,11.0,9.0,71.67122973495982,1.0474000000000043,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,19.49,True,PA-DSE,fir,,False
39,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,71.67122973495982,1.0474000000000043,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,22.85,True,PA-DSE,fir,,False
41,bambu,15,False,,ALL_BRAM,MEM_ACC_NN,2,10.0,8.0,70.70335699539015,0.8564000000000018,277.0,243.0,34.0,3.0,289.0,40.0,10.0,5.0,18.78,True,PA-DSE,fir,,False
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,12.0,13.0,93.47891115764283,4.3024,344.0,308.0,36.0,3.0,385.0,39.0,13.0,7.0,21.72,True,PA-DSE,fir,,False
44,bambu,15,False,,NO_BRAM,MEM_ACC_N1,1,12.0,13.0,93.47891115764283,4.3024,344.0,308.0,36.0,3.0,385.0,39.0,13.0,7.0,19.53,True,PA-DSE,fir,,False
45,bambu,15,False,,NO_BRAM,MEM_ACC_N1,2,12.0,13.0,93.47891115764283,4.3024,344.0,308.0,36.0,3.0,385.0,39.0,13.0,7.0,22.49,True,PA-DSE,fir,,False
47,bambu,15,False,,NO_BRAM,MEM_ACC_NN,2,11.0,11.0,93.47891115764283,4.3024,544.0,509.0,35.0,3.0,385.0,40.0,13.0,6.0,20.9,True,PA-DSE,fir,,False
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,71.67122973495988,6.047400000000018,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,19.43,True,PA-DSE,fir,,False
50,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,1,11.0,9.0,71.67122973495988,6.047400000000018,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,19.69,True,PA-DSE,fir,,False
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,71.67122973495988,6.047400000000018,277.0,242.0,35.0,3.0,321.0,39.0,11.0,6.0,20.96,True,PA-DSE,fir,,False
53,bambu,20,False,,ALL_BRAM,MEM_ACC_NN,2,10.0,8.0,70.70335699539014,5.856400000000002,277.0,243.0,34.0,3.0,289.0,40.0,10.0,5.0,21.33,True,PA-DSE,fir,,False
54,bambu,20,False,,NO_BRAM,MEM_ACC_11,1,12.0,13.0,93.47891115764297,9.302400000000015,344.0,308.0,36.0,3.0,385.0,39.0,13.0,7.0,20.99,True,PA-DSE,fir,,False
