id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,13.26,True,Grid Search
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,21.29,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,21.28,True,Grid Search
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,21.29,True,Grid Search
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,19.25,True,Grid Search
30,bambu,10,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483123,0.4931989920000259,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,22.46,True,Grid Search
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.79,True,Grid Search
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483075,5.493198991999983,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.35,True,Grid Search
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.93,True,Grid Search
54,bambu,20,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.78,True,Grid Search
60,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,16.14,False,Grid Search
66,bambu,5,True,1.0,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,,,,,,,,,18.55,False,Grid Search
72,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.3,False,Grid Search
78,bambu,5,True,2.0,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,,,,,,,,,21.69,False,Grid Search
84,bambu,5,True,4.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.61,False,Grid Search
90,bambu,5,True,4.0,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.41,False,Grid Search
96,bambu,8,True,1.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,19.92,False,Grid Search
102,bambu,8,True,1.0,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,,,,,,,,,20.9,False,Grid Search
108,bambu,8,True,2.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,20.83,False,Grid Search
114,bambu,8,True,2.0,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,,,,,,,,,19.99,False,Grid Search
120,bambu,8,True,4.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,18.35,False,Grid Search
126,bambu,8,True,4.0,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,,,,,,,,,16.72,False,Grid Search
132,bambu,10,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,,,,,,,,,21.22,False,Grid Search
138,bambu,10,True,1.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483123,0.4931989920000259,,,,,,,,,19.85,False,Grid Search
144,bambu,10,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,,,,,,,,,20.36,False,Grid Search
150,bambu,10,True,2.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483123,0.4931989920000259,,,,,,,,,20.76,False,Grid Search
156,bambu,10,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,,,,,,,,,20.59,False,Grid Search
162,bambu,10,True,4.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483123,0.4931989920000259,,,,,,,,,20.2,False,Grid Search
168,bambu,15,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,20.78,False,Grid Search
174,bambu,15,True,1.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,20.44,False,Grid Search
180,bambu,15,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,20.3,False,Grid Search
186,bambu,15,True,2.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,18.36,False,Grid Search
192,bambu,15,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,19.47,False,Grid Search
198,bambu,15,True,4.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483075,5.493198991999983,,,,,,,,,19.65,False,Grid Search
204,bambu,20,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,,,,,,,,,20.12,False,Grid Search
210,bambu,20,True,1.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483076,10.493198991999984,,,,,,,,,20.93,False,Grid Search
216,bambu,20,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,,,,,,,,,20.43,False,Grid Search
222,bambu,20,True,2.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483076,10.493198991999984,,,,,,,,,20.18,False,Grid Search
228,bambu,20,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,,,,,,,,,20.8,False,Grid Search
234,bambu,20,True,4.0,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483076,10.493198991999984,,,,,,,,,20.64,False,Grid Search
