config_id,rule,reason,source,severity
1,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
4,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
7,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
10,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
13,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
16,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
19,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
22,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
25,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
28,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
31,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
34,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
37,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
40,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
43,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
46,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
49,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
52,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
55,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
58,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
60,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
60,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
61,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
62,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
62,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
63,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
63,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
64,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
65,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
65,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
66,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
66,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
67,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
68,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
68,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
69,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
69,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
70,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
71,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
71,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
72,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
72,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
73,mem_acc_11_multichannel_invalid,MEM_ACC_11 is incompatible with channels_number > 1.,static,block
74,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
74,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
75,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
75,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
76,mem_acc_nn_requires_two_channels,MEM_ACC_NN requires at least 2 channels.,static,block
77,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
77,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
78,pipeline_with_accumulation_pattern,Pipeline enabled on code with accumulation pattern inside loop; high risk of loop-carried dependence failure.,code_analysis,suppress
78,pipeline_with_branch_inside_loop,Pipeline enabled on code with branch inside loop; high risk of control-flow related pipeline failure.,code_analysis,suppress
