run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
Random_gcd_B30_s0_1791811,Random,gcd,dynamatic,30,0,,N/A,0,0,0,0,30,12,18,40.0,component_count,45.0,45.0,539,6,94.982,1236.866,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s1_3028680,Random,gcd,dynamatic,30,1,,N/A,0,0,0,0,30,11,19,36.7,component_count,43.0,43.0,539,7,95.891,1046.943,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s2_4075626,Random,gcd,dynamatic,30,2,,N/A,0,0,0,0,30,19,11,63.3,component_count,43.0,43.0,563,4,90.536,836.818,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s3_4912445,Random,gcd,dynamatic,30,3,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,539,7,25.837,1196.617,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s4_6109064,Random,gcd,dynamatic,30,4,,N/A,0,0,0,0,30,12,18,40.0,component_count,43.0,43.0,539,5,36.510,1211.025,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s5_7320091,Random,gcd,dynamatic,30,5,,N/A,0,0,0,0,30,16,14,53.3,component_count,43.0,43.0,539,8,21.098,1290.528,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s6_8610620,Random,gcd,dynamatic,30,6,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,555,3,32.077,803.205,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s7_9413827,Random,gcd,dynamatic,30,7,,N/A,0,0,0,0,30,17,13,56.7,component_count,43.0,43.0,539,6,89.079,1106.897,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s8_520726,Random,gcd,dynamatic,30,8,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,545,5,31.610,1183.158,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s9_1703886,Random,gcd,dynamatic,30,9,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,539,7,97.289,1150.052,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s10_2853939,Random,gcd,dynamatic,30,10,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,539,7,97.568,1371.357,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s11_4225298,Random,gcd,dynamatic,30,11,,N/A,0,0,0,0,30,11,19,36.7,component_count,43.0,43.0,557,5,20.947,1313.225,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s12_5538524,Random,gcd,dynamatic,30,12,,N/A,0,0,0,0,30,16,14,53.3,component_count,43.0,43.0,555,7,21.000,1231.915,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s13_6770441,Random,gcd,dynamatic,30,13,,N/A,0,0,0,0,30,15,15,50.0,component_count,43.0,43.0,545,5,32.132,1404.553,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s14_8174996,Random,gcd,dynamatic,30,14,,N/A,0,0,0,0,30,18,12,60.0,component_count,43.0,43.0,539,5,221.841,1168.477,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s15_9343475,Random,gcd,dynamatic,30,15,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,539,6,229.868,1340.793,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s16_684269,Random,gcd,dynamatic,30,16,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,539,4,31.054,1331.095,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s17_2015366,Random,gcd,dynamatic,30,17,,N/A,0,0,0,0,30,11,19,36.7,component_count,43.0,43.0,563,3,92.328,1011.728,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s18_3027096,Random,gcd,dynamatic,30,18,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,557,4,91.406,1039.316,0,0,,0,0,0,0.00,0.00,0.00
Random_gcd_B30_s19_4066413,Random,gcd,dynamatic,30,19,,N/A,0,0,0,0,30,16,14,53.3,component_count,43.0,43.0,563,3,21.151,864.274,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s0_4930689,Filtered_Random,gcd,dynamatic,30,0,,N/A,0,0,0,0,30,12,18,40.0,component_count,45.0,45.0,539,6,94.127,1231.147,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s1_6161837,Filtered_Random,gcd,dynamatic,30,1,,N/A,0,0,0,0,30,11,19,36.7,component_count,43.0,43.0,539,7,95.880,1043.662,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s2_7205501,Filtered_Random,gcd,dynamatic,30,2,,N/A,0,0,0,0,30,19,11,63.3,component_count,43.0,43.0,563,4,90.320,834.270,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s3_8039772,Filtered_Random,gcd,dynamatic,30,3,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,539,7,25.877,1206.151,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s4_9245925,Filtered_Random,gcd,dynamatic,30,4,,N/A,0,0,0,0,30,12,18,40.0,component_count,43.0,43.0,539,5,36.874,1211.609,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s5_457535,Filtered_Random,gcd,dynamatic,30,5,,N/A,0,0,0,0,30,16,14,53.3,component_count,43.0,43.0,539,8,20.954,1282.890,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s6_1740427,Filtered_Random,gcd,dynamatic,30,6,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,555,3,31.824,804.731,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s7_2545160,Filtered_Random,gcd,dynamatic,30,7,,N/A,0,0,0,0,30,17,13,56.7,component_count,43.0,43.0,539,6,89.304,1111.449,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s8_3656611,Filtered_Random,gcd,dynamatic,30,8,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,545,5,31.780,1182.889,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s9_4839501,Filtered_Random,gcd,dynamatic,30,9,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,539,7,98.049,1152.734,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s10_5992237,Filtered_Random,gcd,dynamatic,30,10,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,539,7,97.542,1372.013,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s11_7364252,Filtered_Random,gcd,dynamatic,30,11,,N/A,0,0,0,0,30,11,19,36.7,component_count,43.0,43.0,557,5,20.957,1313.974,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s12_8678228,Filtered_Random,gcd,dynamatic,30,12,,N/A,0,0,0,0,30,16,14,53.3,component_count,43.0,43.0,555,7,20.985,1231.125,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s13_9909355,Filtered_Random,gcd,dynamatic,30,13,,N/A,0,0,0,0,30,15,15,50.0,component_count,43.0,43.0,545,5,31.660,1401.861,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s14_1311218,Filtered_Random,gcd,dynamatic,30,14,,N/A,0,0,0,0,30,18,12,60.0,component_count,43.0,43.0,539,5,222.323,1170.535,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s15_2481755,Filtered_Random,gcd,dynamatic,30,15,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,539,6,230.058,1339.759,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s16_3821516,Filtered_Random,gcd,dynamatic,30,16,,N/A,0,0,0,0,30,13,17,43.3,component_count,43.0,43.0,539,4,30.909,1333.246,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s17_5154763,Filtered_Random,gcd,dynamatic,30,17,,N/A,0,0,0,0,30,11,19,36.7,component_count,43.0,43.0,563,3,92.338,1012.241,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s18_6167006,Filtered_Random,gcd,dynamatic,30,18,,N/A,0,0,0,0,30,14,16,46.7,component_count,43.0,43.0,557,4,91.598,1037.814,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_gcd_B30_s19_7204822,Filtered_Random,gcd,dynamatic,30,19,,N/A,0,0,0,0,30,16,14,53.3,component_count,43.0,43.0,563,3,20.923,864.403,0,0,,0,0,0,0.00,0.00,0.00
PA-DSE_L1_gcd_B30_sNone_8069228,PA-DSE_L1,gcd,dynamatic,30,,,phago+Full(L1),2,0.8,5,0.05,30,14,16,46.7,component_count,43.0,43.0,645,2,20.917,611.862,0,0,,15,0,0,2.97,106.74,8.00
PA-DSE_phago+Full_gcd_B30_sNone_8681092,PA-DSE_phago+Full,gcd,dynamatic,30,,,phago+Full,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,645,2,20.951,777.297,0,0,,0,0,0,2.94,18.30,341.06
Random_matching_B30_s0_9458391,Random,matching,dynamatic,30,0,,N/A,0,0,0,0,30,16,14,53.3,component_count,59.0,59.0,308,11,94.489,1098.623,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s1_557015,Random,matching,dynamatic,30,1,,N/A,0,0,0,0,30,16,14,53.3,component_count,60.0,60.0,308,13,93.652,1160.936,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s2_1717953,Random,matching,dynamatic,30,2,,N/A,0,0,0,0,30,22,8,73.3,component_count,60.0,60.0,338,9,88.975,948.897,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s3_2666851,Random,matching,dynamatic,30,3,,N/A,0,0,0,0,30,19,11,63.3,component_count,59.0,59.0,308,15,30.425,1383.124,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s4_4049977,Random,matching,dynamatic,30,4,,N/A,0,0,0,0,30,19,11,63.3,component_count,59.0,59.0,308,14,35.956,1261.177,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s5_5311156,Random,matching,dynamatic,30,5,,N/A,0,0,0,0,30,22,8,73.3,component_count,59.0,59.0,308,15,25.660,1391.728,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s6_6702885,Random,matching,dynamatic,30,6,,N/A,0,0,0,0,30,17,13,56.7,component_count,59.0,59.0,308,10,30.174,881.106,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s7_7583993,Random,matching,dynamatic,30,7,,N/A,0,0,0,0,30,20,10,66.7,component_count,60.0,60.0,308,11,94.569,1121.170,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s8_8705165,Random,matching,dynamatic,30,8,,N/A,0,0,0,0,30,18,12,60.0,component_count,59.0,59.0,308,11,30.259,1128.124,0,0,,0,0,0,0.00,0.00,0.00
Random_matching_B30_s9_9833291,Random,matching,dynamatic,30,9,,N/A,0,0,0,0,30,18,12,60.0,component_count,60.0,60.0,320,12,95.083,1107.447,0,0,,0,0,0,0.00,0.00,0.00
