run_id,event,eval_step,signature_id,error_type,conditions,conf,n_fail,n_counter,subsumed_signature_id
PA-DSE_L1_gcd_B30_sNone_8069228,activated,10,85296,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""False"", ""disable_lsq"": ""False"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,11,34640,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""False"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,12,35280,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""False"", ""disable_lsq"": ""True"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,13,22352,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,14,23568,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""True"", ""disable_lsq"": ""False"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,15,96016,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""True"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,16,49504,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""True"", ""disable_lsq"": ""True"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,17,50048,memory_failure,"{""clock_period"": ""2"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,18,14960,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""False"", ""disable_lsq"": ""False"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,19,15472,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""False"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,20,38576,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""False"", ""disable_lsq"": ""True"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,21,40496,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,22,19760,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""True"", ""disable_lsq"": ""False"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,23,20208,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""True"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_gcd_B30_sNone_8069228,activated,24,68016,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""True"", ""disable_lsq"": ""True"", ""benchmark"": ""gcd""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,12,43216,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""False"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,14,68464,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,15,96416,timeout,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""disable_lsq"": ""True"", ""fast_token_delivery"": ""False"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,16,97824,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpga20"", ""sharing"": ""True"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,17,75632,timeout,"{""clock_period"": ""2"", ""fast_token_delivery"": ""False"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,18,73392,memory_failure,"{""clock_period"": ""2"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,19,25296,timeout,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""False"", ""fast_token_delivery"": ""False"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,20,2384,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""False"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,21,1104,timeout,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""fast_token_delivery"": ""False"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,22,58512,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,23,59072,timeout,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""True"", ""fast_token_delivery"": ""False"", ""benchmark"": ""matching""}",1.0000,2,0,
PA-DSE_L1_matching_B30_sNone_7274656,activated,24,59408,memory_failure,"{""clock_period"": ""2"", ""buffer_algorithm"": ""fpl22"", ""sharing"": ""True"", ""fast_token_delivery"": ""True"", ""benchmark"": ""matching""}",1.0000,2,0,
