strategy,benchmark,config_id,success,area,latency,error_type,synthesis_time_s,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery
Grid_offline_ref,matmul,0,True,46,476,none,3.19,2,on-merges,False,False,False
Grid_offline_ref,matmul,1,True,53,414,none,3.53,2,on-merges,False,False,True
Grid_offline_ref,matmul,2,True,46,476,none,3.22,2,on-merges,False,True,False
Grid_offline_ref,matmul,3,True,53,414,none,3.64,2,on-merges,False,True,True
Grid_offline_ref,matmul,4,True,46,476,none,3.31,2,on-merges,True,False,False
Grid_offline_ref,matmul,5,True,53,414,none,3.65,2,on-merges,True,False,True
Grid_offline_ref,matmul,6,True,46,476,none,3.14,2,on-merges,True,True,False
Grid_offline_ref,matmul,7,True,53,414,none,3.44,2,on-merges,True,True,True
Grid_offline_ref,matmul,8,False,,,timeout,120.1,2,fpga20,False,False,False
Grid_offline_ref,matmul,9,False,,,buffer_placement_failed,0.7,2,fpga20,False,False,True
Grid_offline_ref,matmul,10,False,,,timeout,120.1,2,fpga20,False,True,False
Grid_offline_ref,matmul,11,False,,,buffer_placement_failed,0.67,2,fpga20,False,True,True
Grid_offline_ref,matmul,12,False,,,timeout,120.1,2,fpga20,True,False,False
Grid_offline_ref,matmul,13,False,,,buffer_placement_failed,0.68,2,fpga20,True,False,True
Grid_offline_ref,matmul,14,False,,,timeout,120.1,2,fpga20,True,True,False
Grid_offline_ref,matmul,15,False,,,buffer_placement_failed,0.71,2,fpga20,True,True,True
Grid_offline_ref,matmul,16,True,55,716,none,57.42,2,fpl22,False,False,False
Grid_offline_ref,matmul,17,False,,,buffer_placement_failed,0.68,2,fpl22,False,False,True
Grid_offline_ref,matmul,18,True,55,716,none,57.62,2,fpl22,False,True,False
Grid_offline_ref,matmul,19,False,,,buffer_placement_failed,0.68,2,fpl22,False,True,True
Grid_offline_ref,matmul,20,True,55,716,none,56.55,2,fpl22,True,False,False
Grid_offline_ref,matmul,21,False,,,buffer_placement_failed,0.68,2,fpl22,True,False,True
Grid_offline_ref,matmul,22,True,55,716,none,57.15,2,fpl22,True,True,False
Grid_offline_ref,matmul,23,False,,,buffer_placement_failed,0.69,2,fpl22,True,True,True
Grid_offline_ref,matmul,24,True,46,476,none,3.21,3,on-merges,False,False,False
Grid_offline_ref,matmul,25,True,53,414,none,3.57,3,on-merges,False,False,True
Grid_offline_ref,matmul,26,True,46,476,none,3.22,3,on-merges,False,True,False
Grid_offline_ref,matmul,27,True,53,414,none,3.47,3,on-merges,False,True,True
Grid_offline_ref,matmul,28,True,46,476,none,3.29,3,on-merges,True,False,False
Grid_offline_ref,matmul,29,True,53,414,none,3.59,3,on-merges,True,False,True
Grid_offline_ref,matmul,30,True,46,476,none,3.26,3,on-merges,True,True,False
Grid_offline_ref,matmul,31,True,53,414,none,3.58,3,on-merges,True,True,True
Grid_offline_ref,matmul,32,False,,,timeout,120.1,3,fpga20,False,False,False
Grid_offline_ref,matmul,33,False,,,buffer_placement_failed,0.71,3,fpga20,False,False,True
Grid_offline_ref,matmul,34,False,,,timeout,120.1,3,fpga20,False,True,False
Grid_offline_ref,matmul,35,False,,,buffer_placement_failed,0.74,3,fpga20,False,True,True
Grid_offline_ref,matmul,36,False,,,timeout,120.1,3,fpga20,True,False,False
Grid_offline_ref,matmul,37,False,,,buffer_placement_failed,0.75,3,fpga20,True,False,True
Grid_offline_ref,matmul,38,False,,,timeout,120.1,3,fpga20,True,True,False
Grid_offline_ref,matmul,39,False,,,buffer_placement_failed,0.72,3,fpga20,True,True,True
Grid_offline_ref,matmul,40,False,,,timeout,120.1,3,fpl22,False,False,False
Grid_offline_ref,matmul,41,False,,,buffer_placement_failed,0.75,3,fpl22,False,False,True
Grid_offline_ref,matmul,42,False,,,timeout,120.1,3,fpl22,False,True,False
Grid_offline_ref,matmul,43,False,,,buffer_placement_failed,0.77,3,fpl22,False,True,True
Grid_offline_ref,matmul,44,False,,,timeout,120.1,3,fpl22,True,False,False
Grid_offline_ref,matmul,45,False,,,buffer_placement_failed,0.75,3,fpl22,True,False,True
Grid_offline_ref,matmul,46,False,,,timeout,120.1,3,fpl22,True,True,False
Grid_offline_ref,matmul,47,False,,,buffer_placement_failed,0.75,3,fpl22,True,True,True
Grid_offline_ref,matmul,48,True,46,476,none,3.39,4,on-merges,False,False,False
Grid_offline_ref,matmul,49,True,53,414,none,3.63,4,on-merges,False,False,True
Grid_offline_ref,matmul,50,True,46,476,none,3.35,4,on-merges,False,True,False
Grid_offline_ref,matmul,51,True,53,414,none,3.73,4,on-merges,False,True,True
Grid_offline_ref,matmul,52,True,46,476,none,3.71,4,on-merges,True,False,False
Grid_offline_ref,matmul,53,True,53,414,none,4.05,4,on-merges,True,False,True
Grid_offline_ref,matmul,54,True,46,476,none,3.26,4,on-merges,True,True,False
Grid_offline_ref,matmul,55,True,53,414,none,3.55,4,on-merges,True,True,True
Grid_offline_ref,matmul,56,False,,,timeout,120.1,4,fpga20,False,False,False
Grid_offline_ref,matmul,57,False,,,buffer_placement_failed,0.75,4,fpga20,False,False,True
Grid_offline_ref,matmul,58,False,,,timeout,120.1,4,fpga20,False,True,False
Grid_offline_ref,matmul,59,False,,,buffer_placement_failed,0.75,4,fpga20,False,True,True
Grid_offline_ref,matmul,60,False,,,timeout,120.1,4,fpga20,True,False,False
Grid_offline_ref,matmul,61,False,,,buffer_placement_failed,0.72,4,fpga20,True,False,True
Grid_offline_ref,matmul,62,False,,,timeout,120.1,4,fpga20,True,True,False
Grid_offline_ref,matmul,63,False,,,buffer_placement_failed,0.68,4,fpga20,True,True,True
Grid_offline_ref,matmul,64,False,,,timeout,120.1,4,fpl22,False,False,False
Grid_offline_ref,matmul,65,False,,,buffer_placement_failed,0.71,4,fpl22,False,False,True
Grid_offline_ref,matmul,66,False,,,timeout,120.1,4,fpl22,False,True,False
Grid_offline_ref,matmul,67,False,,,buffer_placement_failed,0.68,4,fpl22,False,True,True
Grid_offline_ref,matmul,68,False,,,timeout,120.1,4,fpl22,True,False,False
Grid_offline_ref,matmul,69,False,,,buffer_placement_failed,0.68,4,fpl22,True,False,True
Grid_offline_ref,matmul,70,False,,,timeout,120.1,4,fpl22,True,True,False
Grid_offline_ref,matmul,71,False,,,buffer_placement_failed,0.7,4,fpl22,True,True,True
Grid_offline_ref,matmul,72,True,46,476,none,3.22,5,on-merges,False,False,False
Grid_offline_ref,matmul,73,True,53,414,none,3.6,5,on-merges,False,False,True
Grid_offline_ref,matmul,74,True,46,476,none,3.32,5,on-merges,False,True,False
Grid_offline_ref,matmul,75,True,53,414,none,3.58,5,on-merges,False,True,True
Grid_offline_ref,matmul,76,True,46,476,none,3.22,5,on-merges,True,False,False
Grid_offline_ref,matmul,77,True,53,414,none,3.57,5,on-merges,True,False,True
Grid_offline_ref,matmul,78,True,46,476,none,3.25,5,on-merges,True,True,False
Grid_offline_ref,matmul,79,True,53,414,none,3.62,5,on-merges,True,True,True
Grid_offline_ref,matmul,80,True,55,456,none,22.69,5,fpga20,False,False,False
Grid_offline_ref,matmul,81,False,,,buffer_placement_failed,0.7,5,fpga20,False,False,True
Grid_offline_ref,matmul,82,True,55,456,none,22.72,5,fpga20,False,True,False
Grid_offline_ref,matmul,83,False,,,buffer_placement_failed,0.7,5,fpga20,False,True,True
Grid_offline_ref,matmul,84,True,55,456,none,22.58,5,fpga20,True,False,False
Grid_offline_ref,matmul,85,False,,,buffer_placement_failed,0.67,5,fpga20,True,False,True
Grid_offline_ref,matmul,86,True,55,456,none,21.91,5,fpga20,True,True,False
Grid_offline_ref,matmul,87,False,,,buffer_placement_failed,0.7,5,fpga20,True,True,True
Grid_offline_ref,matmul,88,False,,,timeout,120.1,5,fpl22,False,False,False
Grid_offline_ref,matmul,89,False,,,buffer_placement_failed,0.71,5,fpl22,False,False,True
Grid_offline_ref,matmul,90,False,,,timeout,120.1,5,fpl22,False,True,False
Grid_offline_ref,matmul,91,False,,,buffer_placement_failed,0.68,5,fpl22,False,True,True
Grid_offline_ref,matmul,92,False,,,timeout,120.1,5,fpl22,True,False,False
Grid_offline_ref,matmul,93,False,,,buffer_placement_failed,0.68,5,fpl22,True,False,True
Grid_offline_ref,matmul,94,False,,,timeout,120.1,5,fpl22,True,True,False
Grid_offline_ref,matmul,95,False,,,buffer_placement_failed,0.67,5,fpl22,True,True,True
Grid_offline_ref,matmul,96,True,46,476,none,3.13,6,on-merges,False,False,False
Grid_offline_ref,matmul,97,True,53,414,none,3.44,6,on-merges,False,False,True
Grid_offline_ref,matmul,98,True,46,476,none,3.12,6,on-merges,False,True,False
Grid_offline_ref,matmul,99,True,53,414,none,3.41,6,on-merges,False,True,True
Grid_offline_ref,matmul,100,True,46,476,none,3.14,6,on-merges,True,False,False
