run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
Random_matmul_B60_s0_1299853,Random,matmul,bambu,60,0,,N/A,0,0,0,0,60,9,51,15.0,area,444.0,444.0,9,7,127.737,1058.531,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s1_2358400,Random,matmul,bambu,60,1,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,10,8,18.044,991.841,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s2_3350243,Random,matmul,bambu,60,2,,N/A,0,0,0,0,60,7,53,11.7,area,445.0,445.0,10,4,591.235,967.046,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s3_4317292,Random,matmul,bambu,60,3,,N/A,0,0,0,0,60,6,54,10.0,area,430.0,430.0,10,5,510.952,934.603,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s4_5251897,Random,matmul,bambu,60,4,,N/A,0,0,0,0,60,10,50,16.7,area,429.0,429.0,9,7,18.318,1023.178,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s5_6275077,Random,matmul,bambu,60,5,,N/A,0,0,0,0,60,8,52,13.3,area,429.0,429.0,10,8,235.159,1077.536,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s6_7352619,Random,matmul,bambu,60,6,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,9,6,36.717,966.505,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s7_8319126,Random,matmul,bambu,60,7,,N/A,0,0,0,0,60,9,51,15.0,area,445.0,445.0,10,4,119.679,1060.779,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s8_9379906,Random,matmul,bambu,60,8,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,9,8,21.494,976.883,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s9_356792,Random,matmul,bambu,60,9,,N/A,0,0,0,0,60,11,49,18.3,area,429.0,429.0,9,8,100.022,964.436,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s10_1321230,Random,matmul,bambu,60,10,,N/A,0,0,0,0,60,9,51,15.0,area,429.0,429.0,10,9,62.749,997.100,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s11_2318331,Random,matmul,bambu,60,11,,N/A,0,0,0,0,60,6,54,10.0,area,445.0,445.0,10,6,301.560,936.539,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s12_3254872,Random,matmul,bambu,60,12,,N/A,0,0,0,0,60,8,52,13.3,area,444.0,444.0,10,7,20.024,959.976,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s13_4214851,Random,matmul,bambu,60,13,,N/A,0,0,0,0,60,10,50,16.7,area,429.0,429.0,9,8,52.352,1016.819,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s14_5231671,Random,matmul,bambu,60,14,,N/A,0,0,0,0,60,4,56,6.7,area,430.0,430.0,10,4,219.173,975.207,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s15_6206881,Random,matmul,bambu,60,15,,N/A,0,0,0,0,60,12,48,20.0,area,430.0,430.0,10,9,18.386,1030.931,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s16_7237814,Random,matmul,bambu,60,16,,N/A,0,0,0,0,60,12,48,20.0,area,444.0,444.0,9,9,79.631,1024.958,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s17_8262774,Random,matmul,bambu,60,17,,N/A,0,0,0,0,60,7,53,11.7,area,429.0,429.0,9,6,38.572,1003.755,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s18_9266531,Random,matmul,bambu,60,18,,N/A,0,0,0,0,60,9,51,15.0,area,430.0,430.0,9,8,33.493,1000.879,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s19_267411,Random,matmul,bambu,60,19,,N/A,0,0,0,0,60,7,53,11.7,area,444.0,444.0,10,6,19.916,936.764,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s0_1204179,Filtered_Random,matmul,bambu,60,0,,N/A,0,0,0,0,60,8,52,13.3,area,445.0,445.0,10,4,158.931,1168.302,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s1_2372483,Filtered_Random,matmul,bambu,60,1,,N/A,0,0,0,0,60,10,50,16.7,area,444.0,444.0,10,7,76.306,1165.286,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s2_3537771,Filtered_Random,matmul,bambu,60,2,,N/A,0,0,0,0,60,11,49,18.3,area,444.0,444.0,9,8,17.499,1171.525,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s3_4709297,Filtered_Random,matmul,bambu,60,3,,N/A,0,0,0,0,60,14,46,23.3,area,430.0,430.0,9,10,19.814,1173.843,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s4_5883143,Filtered_Random,matmul,bambu,60,4,,N/A,0,0,0,0,60,12,48,20.0,area,429.0,429.0,9,9,113.562,1179.675,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s5_7062820,Filtered_Random,matmul,bambu,60,5,,N/A,0,0,0,0,60,12,48,20.0,area,429.0,429.0,10,9,18.990,1175.346,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s6_8238168,Filtered_Random,matmul,bambu,60,6,,N/A,0,0,0,0,60,14,46,23.3,area,430.0,430.0,10,11,38.808,1169.383,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s7_9407554,Filtered_Random,matmul,bambu,60,7,,N/A,0,0,0,0,60,8,52,13.3,area,430.0,430.0,10,7,40.596,1177.370,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s8_584925,Filtered_Random,matmul,bambu,60,8,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,10,9,203.877,1153.056,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s9_1737984,Filtered_Random,matmul,bambu,60,9,,N/A,0,0,0,0,60,12,48,20.0,area,444.0,444.0,9,8,232.937,1172.768,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s10_2910754,Filtered_Random,matmul,bambu,60,10,,N/A,0,0,0,0,60,14,46,23.3,area,430.0,430.0,9,11,19.343,1175.789,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s11_4086550,Filtered_Random,matmul,bambu,60,11,,N/A,0,0,0,0,60,11,49,18.3,area,444.0,444.0,9,8,15.019,1169.025,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s12_5255576,Filtered_Random,matmul,bambu,60,12,,N/A,0,0,0,0,60,9,51,15.0,area,445.0,445.0,10,7,76.683,1168.168,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s13_6423746,Filtered_Random,matmul,bambu,60,13,,N/A,0,0,0,0,60,12,48,20.0,area,429.0,429.0,10,9,42.284,1161.132,0,0,,0,0,0,0.00,0.00,0.00
