run_id,event,eval_step,signature_id,error_type,conditions,conf,n_fail,n_counter,subsumed_signature_id
PA-DSE_L1_matmul_B60_sNone_4638843,activated,58,60528,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""1"", ""benchmark"": ""matmul""}",1.0000,2,0,
PA-DSE_L1_matmul_B60_sNone_4638843,activated,59,24592,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_type"": ""MEM_ACC_N1"", ""benchmark"": ""matmul""}",1.0000,2,0,
PA-DSE_L1_matmul_B60_sNone_4638843,activated,60,25232,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""2"", ""benchmark"": ""matmul""}",1.0000,2,0,
PA-DSE_L1_vadd_B60_sNone_9805260,activated,58,95936,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""1"", ""benchmark"": ""vadd""}",1.0000,2,0,
PA-DSE_L1_vadd_B60_sNone_9805260,activated,59,96544,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_type"": ""MEM_ACC_N1"", ""benchmark"": ""vadd""}",1.0000,2,0,
PA-DSE_L1_vadd_B60_sNone_9805260,activated,60,63280,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""2"", ""benchmark"": ""vadd""}",1.0000,2,0,
PA-DSE_L1_fir_B60_sNone_6354813,activated,58,9040,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""1"", ""benchmark"": ""fir""}",1.0000,2,0,
PA-DSE_L1_fir_B60_sNone_6354813,activated,59,10128,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_type"": ""MEM_ACC_N1"", ""benchmark"": ""fir""}",1.0000,2,0,
PA-DSE_L1_fir_B60_sNone_6354813,activated,60,40656,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""2"", ""benchmark"": ""fir""}",1.0000,2,0,
PA-DSE_L1_histogram_B60_sNone_2825123,activated,58,40656,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""1"", ""benchmark"": ""histogram""}",1.0000,2,0,
PA-DSE_L1_histogram_B60_sNone_2825123,activated,59,75600,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_type"": ""MEM_ACC_N1"", ""benchmark"": ""histogram""}",1.0000,2,0,
PA-DSE_L1_histogram_B60_sNone_2825123,activated,60,77760,pipeline_phi_conflict,"{""clock_period"": ""3"", ""pipeline"": ""True"", ""pipeline_ii"": ""1"", ""memory_policy"": ""ALL_BRAM"", ""channels_number"": ""2"", ""benchmark"": ""histogram""}",1.0000,2,0,
