run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
Random_matmul_B60_s0_3047408,Random,matmul,bambu,60,0,,N/A,0,0,0,0,60,9,51,15.0,area,444.0,444.0,9,7,16.935,131.595,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s1_3179003,Random,matmul,bambu,60,1,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,10,8,2.856,123.759,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s2_3302763,Random,matmul,bambu,60,2,,N/A,0,0,0,0,60,7,53,11.7,area,445.0,445.0,10,4,74.648,121.935,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s3_3424698,Random,matmul,bambu,60,3,,N/A,0,0,0,0,60,6,54,10.0,area,430.0,430.0,10,5,64.796,117.581,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s4_3542279,Random,matmul,bambu,60,4,,N/A,0,0,0,0,60,10,50,16.7,area,429.0,429.0,9,7,2.466,127.744,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s5_3670024,Random,matmul,bambu,60,5,,N/A,0,0,0,0,60,8,52,13.3,area,429.0,429.0,10,8,29.228,136.182,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s6_3806206,Random,matmul,bambu,60,6,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,9,6,4.952,122.048,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s7_3928255,Random,matmul,bambu,60,7,,N/A,0,0,0,0,60,9,51,15.0,area,445.0,445.0,10,4,15.371,132.289,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s8_4060544,Random,matmul,bambu,60,8,,N/A,0,0,0,0,60,10,50,16.7,area,430.0,430.0,9,8,2.455,122.316,0,0,,0,0,0,0.00,0.00,0.00
Random_matmul_B60_s9_4182860,Random,matmul,bambu,60,9,,N/A,0,0,0,0,60,11,49,18.3,area,429.0,429.0,9,8,12.542,121.406,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s0_4304267,Filtered_Random,matmul,bambu,60,0,,N/A,0,0,0,0,60,8,52,13.3,area,445.0,445.0,10,4,19.386,145.880,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s1_4450147,Filtered_Random,matmul,bambu,60,1,,N/A,0,0,0,0,60,10,50,16.7,area,444.0,444.0,10,7,9.881,146.191,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s2_4596338,Filtered_Random,matmul,bambu,60,2,,N/A,0,0,0,0,60,11,49,18.3,area,444.0,444.0,9,8,2.459,146.135,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s3_4742473,Filtered_Random,matmul,bambu,60,3,,N/A,0,0,0,0,60,14,46,23.3,area,430.0,430.0,9,10,2.497,146.387,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s4_4888861,Filtered_Random,matmul,bambu,60,4,,N/A,0,0,0,0,60,12,48,20.0,area,429.0,429.0,9,9,14.552,146.998,0,0,,0,0,0,0.00,0.00,0.00
Filtered_Random_matmul_B60_s5_5035859,Filtered_Random,matmul,bambu,60,5,,N/A,0,0,0,0,60,12,48,20.0,area,429.0,429.0,10,9,2.514,146.989,0,0,,0,0,0,0.00,0.00,0.00
