run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
Random_matmul_B30_s0_3293729,Random,matmul,dynamatic,30,0,,N/A,0,0,0,0,30,10,20,33.3,component_count,52.0,52.0,414,4,46.42,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s1_dde7f25,Random,matmul,dynamatic,30,1,,N/A,0,0,0,0,30,10,20,33.3,component_count,46.0,46.0,414,7,124.26,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s2_9bbeaf6,Random,matmul,dynamatic,30,2,,N/A,0,0,0,0,30,18,12,60.0,component_count,46.0,46.0,414,3,123.74,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s3_68d80d0,Random,matmul,dynamatic,30,3,,N/A,0,0,0,0,30,14,16,46.7,component_count,46.0,46.0,414,7,4.04,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s4_07a8e73,Random,matmul,dynamatic,30,4,,N/A,0,0,0,0,30,12,18,40.0,component_count,46.0,46.0,414,5,4.1,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s5_33d52f2,Random,matmul,dynamatic,30,5,,N/A,0,0,0,0,30,16,14,53.3,component_count,46.0,46.0,414,8,3.21,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s6_31aa3cc,Random,matmul,dynamatic,30,6,,N/A,0,0,0,0,30,13,17,43.3,component_count,46.0,46.0,414,3,3.55,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s7_d425fc5,Random,matmul,dynamatic,30,7,,N/A,0,0,0,0,30,17,13,56.7,component_count,46.0,46.0,414,6,45.47,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s8_8d51ba0,Random,matmul,dynamatic,30,8,,N/A,0,0,0,0,30,13,17,43.3,component_count,46.0,46.0,414,5,3.62,0,0,0,,0,0,0,0,0,0
Random_matmul_B30_s9_58835db,Random,matmul,dynamatic,30,9,,N/A,0,0,0,0,30,12,18,40.0,component_count,46.0,46.0,414,5,17.09,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B30_s0_ff3ed44,Filtered_Random,matmul,dynamatic,30,0,,N/A,0,0,0,0,30,10,20,33.3,component_count,52.0,52.0,414,4,46.42,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B30_s1_908d689,Filtered_Random,matmul,dynamatic,30,1,,N/A,0,0,0,0,30,10,20,33.3,component_count,46.0,46.0,414,7,124.26,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B30_s2_7cc1f01,Filtered_Random,matmul,dynamatic,30,2,,N/A,0,0,0,0,30,18,12,60.0,component_count,46.0,46.0,414,3,123.74,0,0,0,,0,0,0,0,0,0
Filtered_Random_matmul_B30_s3_409637a,Filtered_Random,matmul,dynamatic,30,3,,N/A,0,0,0,0,30,14,16,46.7,component_count,46.0,46.0,414,7,4.04,0,0,0,,0,0,0,0,0,0
