config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,33.38,43,6,301,none,binary_search
4,3,on-merges,True,False,False,True,True,True,30.55,43,6,301,none,binary_search
8,3,fpga20,False,False,False,False,False,False,60.09,0,0,0,timeout,binary_search
12,3,fpga20,True,False,False,False,False,False,60.16,0,0,0,timeout,binary_search
16,3,fpl22,False,False,False,False,False,False,60.11,0,0,0,timeout,binary_search
20,3,fpl22,True,False,False,False,False,False,60.09,0,0,0,timeout,binary_search
24,4,on-merges,False,False,False,True,True,True,18.31,43,6,301,none,binary_search
28,4,on-merges,True,False,False,True,True,True,18.19,43,6,301,none,binary_search
32,4,fpga20,False,False,False,False,False,False,60.04,0,0,0,timeout,binary_search
36,4,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
40,4,fpl22,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
44,4,fpl22,True,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
48,5,on-merges,False,False,False,True,True,True,17.85,43,6,301,none,binary_search
52,5,on-merges,True,False,False,True,True,True,17.96,43,6,301,none,binary_search
56,5,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
60,5,fpga20,True,False,False,False,False,False,60.03,0,0,0,timeout,binary_search
64,5,fpl22,False,False,False,False,False,False,60.06,0,0,0,timeout,binary_search
68,5,fpl22,True,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
72,6,on-merges,False,False,False,True,True,True,17.86,43,6,301,none,binary_search
76,6,on-merges,True,False,False,True,True,True,17.81,43,6,301,none,binary_search
80,6,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
84,6,fpga20,True,False,False,False,False,False,60.07,0,0,0,timeout,binary_search
88,6,fpl22,False,False,False,False,False,False,60.04,0,0,0,timeout,binary_search
92,6,fpl22,True,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
96,8,on-merges,False,False,False,True,True,True,17.82,43,6,301,none,binary_search
100,8,on-merges,True,False,False,True,True,True,17.8,43,6,301,none,binary_search
104,8,fpga20,False,False,False,True,True,True,35.41,42,5,257,none,binary_search
108,8,fpga20,True,False,False,True,True,True,35.16,42,5,257,none,binary_search
112,8,fpl22,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
116,8,fpl22,True,False,False,False,False,False,60.04,0,0,0,timeout,binary_search
