config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,17.99,43,6,301,none,binary_search
4,3,on-merges,True,False,False,True,True,True,18.01,43,6,301,none,binary_search
11,3,fpga20,False,True,True,False,False,False,4.32,0,0,0,buffer_placement_failed,binary_search
15,3,fpga20,True,True,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
20,3,fpl22,True,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
25,4,on-merges,False,False,True,True,True,True,21.06,43,6,671,none,binary_search
28,4,on-merges,True,False,False,True,True,True,18.01,43,6,301,none,binary_search
37,4,fpga20,True,False,True,False,False,False,4.32,0,0,0,buffer_placement_failed,binary_search
38,4,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
47,4,fpl22,True,True,True,False,False,False,4.31,0,0,0,buffer_placement_failed,binary_search
51,5,on-merges,False,True,True,True,True,True,21.02,43,6,671,none,binary_search
52,5,on-merges,True,False,False,True,True,True,18.0,43,6,301,none,binary_search
57,5,fpga20,False,False,True,False,False,False,4.31,0,0,0,buffer_placement_failed,binary_search
62,5,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
68,5,fpl22,True,False,False,False,False,False,60.03,0,0,0,timeout,binary_search
73,6,on-merges,False,False,True,True,True,True,21.05,43,6,671,none,binary_search
80,6,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
85,6,fpga20,True,False,True,False,False,False,4.32,0,0,0,buffer_placement_failed,binary_search
86,6,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
95,6,fpl22,True,True,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
97,8,on-merges,False,False,True,True,True,True,21.07,43,6,671,none,binary_search
104,8,fpga20,False,False,False,True,True,True,35.68,42,5,257,none,binary_search
108,8,fpga20,True,False,False,True,True,True,35.57,42,5,257,none,binary_search
111,8,fpga20,True,True,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
118,8,fpl22,True,True,False,False,False,False,60.06,0,0,0,timeout,binary_search
122,10,on-merges,False,True,False,True,True,True,18.03,43,6,301,none,binary_search
124,10,on-merges,True,False,False,True,True,True,17.98,43,6,301,none,binary_search
130,10,fpga20,False,True,False,True,True,True,22.56,42,5,249,none,binary_search
137,10,fpl22,False,False,True,False,False,False,4.31,0,0,0,buffer_placement_failed,binary_search
141,10,fpl22,True,False,True,False,False,False,4.34,0,0,0,buffer_placement_failed,binary_search
