config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,17.97,43,6,301,none,binary_search
1,3,on-merges,False,False,True,True,True,True,21.03,43,6,671,none,binary_search
2,3,on-merges,False,True,False,True,True,True,18.02,43,6,301,none,binary_search
3,3,on-merges,False,True,True,True,True,True,20.96,43,6,671,none,binary_search
4,3,on-merges,True,False,False,True,True,True,17.97,43,6,301,none,binary_search
5,3,on-merges,True,False,True,True,True,True,21.05,43,6,671,none,binary_search
24,4,on-merges,False,False,False,True,True,True,18.0,43,6,301,none,binary_search
25,4,on-merges,False,False,True,True,True,True,21.06,43,6,671,none,binary_search
26,4,on-merges,False,True,False,True,True,True,18.03,43,6,301,none,binary_search
27,4,on-merges,False,True,True,True,True,True,21.14,43,6,671,none,binary_search
28,4,on-merges,True,False,False,True,True,True,18.01,43,6,301,none,binary_search
29,4,on-merges,True,False,True,True,True,True,21.13,43,6,671,none,binary_search
32,4,fpga20,False,False,False,False,False,False,60.07,0,0,0,timeout,binary_search
33,4,fpga20,False,False,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
34,4,fpga20,False,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
35,4,fpga20,False,True,True,False,False,False,4.31,0,0,0,buffer_placement_failed,binary_search
36,4,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
37,4,fpga20,True,False,True,False,False,False,4.37,0,0,0,buffer_placement_failed,binary_search
40,4,fpl22,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
41,4,fpl22,False,False,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
42,4,fpl22,False,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
43,4,fpl22,False,True,True,False,False,False,4.31,0,0,0,buffer_placement_failed,binary_search
48,5,on-merges,False,False,False,True,True,True,18.02,43,6,301,none,binary_search
49,5,on-merges,False,False,True,True,True,True,21.02,43,6,671,none,binary_search
50,5,on-merges,False,True,False,True,True,True,18.0,43,6,301,none,binary_search
51,5,on-merges,False,True,True,True,True,True,21.42,43,6,671,none,binary_search
52,5,on-merges,True,False,False,True,True,True,18.06,43,6,301,none,binary_search
53,5,on-merges,True,False,True,True,True,True,21.03,43,6,671,none,binary_search
56,5,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
57,5,fpga20,False,False,True,False,False,False,4.43,0,0,0,buffer_placement_failed,binary_search
