config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
28,4,on-merges,True,False,False,True,True,True,18.06,43,6,301,none,binary_search
6,3,on-merges,True,True,False,True,True,True,18.01,43,6,301,none,binary_search
70,5,fpl22,True,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
62,5,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
57,5,fpga20,False,False,True,False,False,False,4.41,0,0,0,buffer_placement_failed,binary_search
35,4,fpga20,False,True,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
26,4,on-merges,False,True,False,True,True,True,18.0,43,6,301,none,binary_search
22,3,fpl22,True,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
108,8,fpga20,True,False,False,True,True,True,35.63,42,5,257,none,binary_search
8,3,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,binary_search
7,3,on-merges,True,True,True,True,True,True,21.2,43,6,671,none,binary_search
23,3,fpl22,True,True,True,False,False,False,4.34,0,0,0,buffer_placement_failed,binary_search
55,5,on-merges,True,True,True,True,True,True,21.11,43,6,671,none,binary_search
59,5,fpga20,False,True,True,False,False,False,4.31,0,0,0,buffer_placement_failed,binary_search
129,10,fpga20,False,False,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
142,10,fpl22,True,True,False,False,False,False,60.06,0,0,0,timeout,binary_search
50,5,on-merges,False,True,False,True,True,True,18.05,43,6,301,none,binary_search
91,6,fpl22,False,True,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
83,6,fpga20,False,True,True,False,False,False,4.28,0,0,0,buffer_placement_failed,binary_search
89,6,fpl22,False,False,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
69,5,fpl22,True,False,True,False,False,False,4.33,0,0,0,buffer_placement_failed,binary_search
53,5,on-merges,True,False,True,True,True,True,21.08,43,6,671,none,binary_search
143,10,fpl22,True,True,True,False,False,False,4.34,0,0,0,buffer_placement_failed,binary_search
139,10,fpl22,False,True,True,False,False,False,4.29,0,0,0,buffer_placement_failed,binary_search
75,6,on-merges,False,True,True,True,True,True,21.02,43,6,671,none,binary_search
138,10,fpl22,False,True,False,False,False,False,60.08,0,0,0,timeout,binary_search
103,8,on-merges,True,True,True,True,True,True,21.07,43,6,671,none,binary_search
111,8,fpga20,True,True,True,False,False,False,4.3,0,0,0,buffer_placement_failed,binary_search
0,3,on-merges,False,False,False,True,True,True,18.02,43,6,301,none,binary_search
97,8,on-merges,False,False,True,True,True,True,20.98,43,6,671,none,binary_search
