config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,17.53,41,6,123,none,fir
4,3,on-merges,True,False,False,True,True,True,16.58,41,6,123,none,fir
8,3,fpga20,False,False,False,True,True,True,23.61,43,8,123,none,fir
12,3,fpga20,True,False,False,True,True,True,23.98,43,8,123,none,fir
16,3,fpl22,False,False,False,False,False,False,60.03,0,0,0,timeout,fir
20,3,fpl22,True,False,False,False,False,False,60.03,0,0,0,timeout,fir
24,4,on-merges,False,False,False,True,True,True,15.95,41,6,123,none,fir
28,4,on-merges,True,False,False,True,True,True,15.93,41,6,123,none,fir
32,4,fpga20,False,False,False,True,True,True,23.28,43,8,123,none,fir
36,4,fpga20,True,False,False,True,True,True,23.28,43,8,123,none,fir
40,4,fpl22,False,False,False,False,False,False,60.03,0,0,0,timeout,fir
44,4,fpl22,True,False,False,False,False,False,60.03,0,0,0,timeout,fir
48,5,on-merges,False,False,False,True,True,True,15.98,41,6,123,none,fir
52,5,on-merges,True,False,False,True,True,True,15.97,41,6,123,none,fir
56,5,fpga20,False,False,False,True,True,True,19.77,40,5,119,none,fir
60,5,fpga20,True,False,False,True,True,True,20.2,40,5,119,none,fir
64,5,fpl22,False,False,False,True,True,True,38.76,46,11,131,none,fir
68,5,fpl22,True,False,False,True,True,True,38.75,46,11,131,none,fir
72,6,on-merges,False,False,False,True,True,True,15.63,41,6,123,none,fir
76,6,on-merges,True,False,False,True,True,True,15.77,41,6,123,none,fir
80,6,fpga20,False,False,False,True,True,True,20.3,42,7,119,none,fir
84,6,fpga20,True,False,False,True,True,True,20.39,42,7,119,none,fir
88,6,fpl22,False,False,False,True,True,True,42.63,44,9,125,none,fir
92,6,fpl22,True,False,False,True,True,True,42.65,44,9,125,none,fir
96,8,on-merges,False,False,False,True,True,True,15.73,41,6,123,none,fir
100,8,on-merges,True,False,False,True,True,True,15.7,41,6,123,none,fir
104,8,fpga20,False,False,False,True,True,True,20.9,42,7,119,none,fir
108,8,fpga20,True,False,False,True,True,True,20.81,42,7,119,none,fir
112,8,fpl22,False,False,False,True,True,True,26.99,44,9,123,none,fir
116,8,fpl22,True,False,False,True,True,True,27.14,44,9,123,none,fir
