config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,16.09,41,6,123,none,fir
4,3,on-merges,True,False,False,True,True,True,16.07,41,6,123,none,fir
11,3,fpga20,False,True,True,True,True,True,19.71,39,7,122,none,fir
15,3,fpga20,True,True,True,True,True,True,19.69,39,7,122,none,fir
20,3,fpl22,True,False,False,False,False,False,60.03,0,0,0,timeout,fir
25,4,on-merges,False,False,True,True,True,True,15.21,38,6,122,none,fir
28,4,on-merges,True,False,False,True,True,True,15.91,41,6,123,none,fir
37,4,fpga20,True,False,True,True,True,True,21.43,38,6,120,none,fir
38,4,fpga20,True,True,False,True,True,True,22.84,43,8,123,none,fir
47,4,fpl22,True,True,True,True,True,True,47.37,40,8,132,none,fir
51,5,on-merges,False,True,True,True,True,True,14.83,38,6,122,none,fir
52,5,on-merges,True,False,False,True,True,True,15.68,41,6,123,none,fir
57,5,fpga20,False,False,True,True,True,True,25.71,38,6,120,none,fir
62,5,fpga20,True,True,False,True,True,True,19.51,40,5,119,none,fir
68,5,fpl22,True,False,False,True,True,True,38.67,46,11,131,none,fir
73,6,on-merges,False,False,True,True,True,True,14.82,38,6,122,none,fir
80,6,fpga20,False,False,False,True,True,True,20.39,42,7,119,none,fir
85,6,fpga20,True,False,True,True,True,True,26.38,38,6,118,none,fir
86,6,fpga20,True,True,False,True,True,True,20.32,42,7,119,none,fir
95,6,fpl22,True,True,True,False,False,False,60.03,0,0,0,timeout,fir
97,8,on-merges,False,False,True,True,True,True,14.78,38,6,122,none,fir
104,8,fpga20,False,False,False,True,True,True,20.81,42,7,119,none,fir
108,8,fpga20,True,False,False,True,True,True,20.92,42,7,119,none,fir
111,8,fpga20,True,True,True,True,True,True,25.87,38,6,118,none,fir
118,8,fpl22,True,True,False,True,True,True,26.94,44,9,123,none,fir
122,10,on-merges,False,True,False,True,True,True,15.71,41,6,123,none,fir
124,10,on-merges,True,False,False,True,True,True,15.67,41,6,123,none,fir
130,10,fpga20,False,True,False,True,True,True,20.63,41,6,119,none,fir
137,10,fpl22,False,False,True,True,True,True,52.26,38,6,120,none,fir
141,10,fpl22,True,False,True,True,True,True,52.1,38,6,120,none,fir
