config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
28,4,on-merges,True,False,False,True,True,True,15.78,41,6,123,none,fir
6,3,on-merges,True,True,False,True,True,True,15.71,41,6,123,none,fir
70,5,fpl22,True,True,False,True,True,True,38.81,46,11,131,none,fir
62,5,fpga20,True,True,False,True,True,True,19.46,40,5,119,none,fir
57,5,fpga20,False,False,True,True,True,True,25.82,38,6,120,none,fir
35,4,fpga20,False,True,True,True,True,True,21.43,38,6,120,none,fir
26,4,on-merges,False,True,False,True,True,True,15.74,41,6,123,none,fir
22,3,fpl22,True,True,False,False,False,False,60.03,0,0,0,timeout,fir
108,8,fpga20,True,False,False,True,True,True,20.91,42,7,119,none,fir
8,3,fpga20,False,False,False,True,True,True,21.81,43,8,123,none,fir
7,3,on-merges,True,True,True,True,True,True,14.86,38,6,122,none,fir
23,3,fpl22,True,True,True,True,True,True,32.9,40,8,140,none,fir
55,5,on-merges,True,True,True,True,True,True,14.92,38,6,122,none,fir
59,5,fpga20,False,True,True,True,True,True,25.79,38,6,120,none,fir
129,10,fpga20,False,False,True,True,True,True,22.31,38,6,118,none,fir
142,10,fpl22,True,True,False,True,True,True,25.21,44,9,125,none,fir
50,5,on-merges,False,True,False,True,True,True,15.75,41,6,123,none,fir
91,6,fpl22,False,True,True,False,False,False,60.03,0,0,0,timeout,fir
83,6,fpga20,False,True,True,True,True,True,26.47,38,6,118,none,fir
89,6,fpl22,False,False,True,False,False,False,60.03,0,0,0,timeout,fir
69,5,fpl22,True,False,True,False,False,False,60.08,0,0,0,timeout,fir
53,5,on-merges,True,False,True,True,True,True,14.87,38,6,122,none,fir
143,10,fpl22,True,True,True,True,True,True,52.39,38,6,120,none,fir
139,10,fpl22,False,True,True,True,True,True,52.34,38,6,120,none,fir
75,6,on-merges,False,True,True,True,True,True,14.84,38,6,122,none,fir
138,10,fpl22,False,True,False,True,True,True,25.19,44,9,125,none,fir
103,8,on-merges,True,True,True,True,True,True,14.82,38,6,122,none,fir
111,8,fpga20,True,True,True,True,True,True,25.92,38,6,118,none,fir
0,3,on-merges,False,False,False,True,True,True,15.8,41,6,123,none,fir
97,8,on-merges,False,False,True,True,True,True,15.15,38,6,122,none,fir
