config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,35.25,43,4,645,none,gcd
4,3,on-merges,True,False,False,True,True,True,35.26,43,4,645,none,gcd
8,3,fpga20,False,False,False,False,False,False,60.09,0,0,0,timeout,gcd
12,3,fpga20,True,False,False,False,False,False,60.09,0,0,0,timeout,gcd
16,3,fpl22,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
20,3,fpl22,True,False,False,False,False,False,60.1,0,0,0,timeout,gcd
24,4,on-merges,False,False,False,True,True,True,34.27,43,4,645,none,gcd
28,4,on-merges,True,False,False,True,True,True,23.92,43,4,645,none,gcd
32,4,fpga20,False,False,False,False,False,False,60.09,0,0,0,timeout,gcd
36,4,fpga20,True,False,False,False,False,False,60.05,0,0,0,timeout,gcd
40,4,fpl22,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
44,4,fpl22,True,False,False,False,False,False,60.07,0,0,0,timeout,gcd
48,5,on-merges,False,False,False,True,True,True,25.79,43,4,645,none,gcd
52,5,on-merges,True,False,False,True,True,True,24.5,43,4,645,none,gcd
56,5,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
60,5,fpga20,True,False,False,False,False,False,60.09,0,0,0,timeout,gcd
64,5,fpl22,False,False,False,False,False,False,60.11,0,0,0,timeout,gcd
68,5,fpl22,True,False,False,False,False,False,60.09,0,0,0,timeout,gcd
72,6,on-merges,False,False,False,True,True,True,24.89,43,4,645,none,gcd
76,6,on-merges,True,False,False,True,True,True,25.13,43,4,645,none,gcd
80,6,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
84,6,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,gcd
88,6,fpl22,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
92,6,fpl22,True,False,False,False,False,False,60.03,0,0,0,timeout,gcd
96,8,on-merges,False,False,False,True,True,True,24.07,43,4,645,none,gcd
100,8,on-merges,True,False,False,True,True,True,24.81,43,4,645,none,gcd
104,8,fpga20,False,False,False,False,False,False,60.09,0,0,0,timeout,gcd
108,8,fpga20,True,False,False,False,False,False,60.09,0,0,0,timeout,gcd
112,8,fpl22,False,False,False,False,False,False,60.09,0,0,0,timeout,gcd
116,8,fpl22,True,False,False,False,False,False,60.09,0,0,0,timeout,gcd
