config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,25.2,43,4,645,none,gcd
4,3,on-merges,True,False,False,True,True,True,24.66,43,4,645,none,gcd
11,3,fpga20,False,True,True,False,False,False,5.95,0,0,0,buffer_placement_failed,gcd
15,3,fpga20,True,True,True,False,False,False,5.88,0,0,0,buffer_placement_failed,gcd
20,3,fpl22,True,False,False,False,False,False,60.11,0,0,0,timeout,gcd
25,4,on-merges,False,False,True,True,True,True,37.03,51,6,863,none,gcd
28,4,on-merges,True,False,False,True,True,True,24.46,43,4,645,none,gcd
37,4,fpga20,True,False,True,False,False,False,6.0,0,0,0,buffer_placement_failed,gcd
38,4,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,gcd
47,4,fpl22,True,True,True,False,False,False,6.06,0,0,0,buffer_placement_failed,gcd
51,5,on-merges,False,True,True,True,True,True,36.84,51,6,863,none,gcd
52,5,on-merges,True,False,False,True,True,True,24.39,43,4,645,none,gcd
57,5,fpga20,False,False,True,False,False,False,5.93,0,0,0,buffer_placement_failed,gcd
62,5,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,gcd
68,5,fpl22,True,False,False,False,False,False,60.05,0,0,0,timeout,gcd
73,6,on-merges,False,False,True,True,True,True,36.68,51,6,863,none,gcd
80,6,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
85,6,fpga20,True,False,True,False,False,False,5.87,0,0,0,buffer_placement_failed,gcd
86,6,fpga20,True,True,False,False,False,False,60.09,0,0,0,timeout,gcd
95,6,fpl22,True,True,True,False,False,False,6.04,0,0,0,buffer_placement_failed,gcd
97,8,on-merges,False,False,True,True,True,True,38.0,51,6,863,none,gcd
104,8,fpga20,False,False,False,False,False,False,60.06,0,0,0,timeout,gcd
108,8,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,gcd
111,8,fpga20,True,True,True,False,False,False,5.95,0,0,0,buffer_placement_failed,gcd
118,8,fpl22,True,True,False,False,False,False,60.1,0,0,0,timeout,gcd
122,10,on-merges,False,True,False,True,True,True,24.84,43,4,645,none,gcd
124,10,on-merges,True,False,False,True,True,True,24.99,43,4,645,none,gcd
130,10,fpga20,False,True,False,False,False,False,60.06,0,0,0,timeout,gcd
137,10,fpl22,False,False,True,False,False,False,5.93,0,0,0,buffer_placement_failed,gcd
141,10,fpl22,True,False,True,False,False,False,5.92,0,0,0,buffer_placement_failed,gcd
