config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,25.03,43,4,645,none,gcd
1,3,on-merges,False,False,True,True,True,True,36.99,51,6,863,none,gcd
2,3,on-merges,False,True,False,True,True,True,25.18,43,4,645,none,gcd
3,3,on-merges,False,True,True,True,True,True,37.92,51,6,863,none,gcd
4,3,on-merges,True,False,False,True,True,True,25.17,43,4,645,none,gcd
5,3,on-merges,True,False,True,True,True,True,37.35,51,6,863,none,gcd
24,4,on-merges,False,False,False,True,True,True,24.94,43,4,645,none,gcd
25,4,on-merges,False,False,True,True,True,True,37.65,51,6,863,none,gcd
26,4,on-merges,False,True,False,True,True,True,24.83,43,4,645,none,gcd
27,4,on-merges,False,True,True,True,True,True,37.34,51,6,863,none,gcd
28,4,on-merges,True,False,False,True,True,True,24.17,43,4,645,none,gcd
29,4,on-merges,True,False,True,True,True,True,36.81,51,6,863,none,gcd
48,5,on-merges,False,False,False,True,True,True,24.92,43,4,645,none,gcd
49,5,on-merges,False,False,True,True,True,True,36.85,51,6,863,none,gcd
50,5,on-merges,False,True,False,True,True,True,24.32,43,4,645,none,gcd
51,5,on-merges,False,True,True,True,True,True,36.98,51,6,863,none,gcd
52,5,on-merges,True,False,False,True,True,True,24.67,43,4,645,none,gcd
53,5,on-merges,True,False,True,True,True,True,37.87,51,6,863,none,gcd
72,6,on-merges,False,False,False,True,True,True,25.18,43,4,645,none,gcd
73,6,on-merges,False,False,True,True,True,True,36.7,51,6,863,none,gcd
74,6,on-merges,False,True,False,True,True,True,24.25,43,4,645,none,gcd
75,6,on-merges,False,True,True,True,True,True,36.98,51,6,863,none,gcd
76,6,on-merges,True,False,False,True,True,True,25.17,43,4,645,none,gcd
77,6,on-merges,True,False,True,True,True,True,36.86,51,6,863,none,gcd
96,8,on-merges,False,False,False,True,True,True,24.19,43,4,645,none,gcd
97,8,on-merges,False,False,True,True,True,True,37.2,51,6,863,none,gcd
98,8,on-merges,False,True,False,True,True,True,24.68,43,4,645,none,gcd
99,8,on-merges,False,True,True,True,True,True,37.28,51,6,863,none,gcd
100,8,on-merges,True,False,False,True,True,True,24.25,43,4,645,none,gcd
101,8,on-merges,True,False,True,True,True,True,37.38,51,6,863,none,gcd
