config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
28,4,on-merges,True,False,False,True,True,True,24.87,43,4,645,none,gcd
6,3,on-merges,True,True,False,True,True,True,25.89,43,4,645,none,gcd
70,5,fpl22,True,True,False,False,False,False,60.1,0,0,0,timeout,gcd
62,5,fpga20,True,True,False,False,False,False,60.1,0,0,0,timeout,gcd
57,5,fpga20,False,False,True,False,False,False,5.78,0,0,0,buffer_placement_failed,gcd
35,4,fpga20,False,True,True,False,False,False,5.95,0,0,0,buffer_placement_failed,gcd
26,4,on-merges,False,True,False,True,True,True,24.23,43,4,645,none,gcd
22,3,fpl22,True,True,False,False,False,False,60.08,0,0,0,timeout,gcd
108,8,fpga20,True,False,False,False,False,False,60.09,0,0,0,timeout,gcd
8,3,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,gcd
7,3,on-merges,True,True,True,True,True,True,41.59,51,6,863,none,gcd
23,3,fpl22,True,True,True,False,False,False,6.96,0,0,0,buffer_placement_failed,gcd
55,5,on-merges,True,True,True,True,True,True,43.53,51,6,863,none,gcd
59,5,fpga20,False,True,True,False,False,False,7.27,0,0,0,buffer_placement_failed,gcd
129,10,fpga20,False,False,True,False,False,False,7.0,0,0,0,buffer_placement_failed,gcd
142,10,fpl22,True,True,False,False,False,False,60.11,0,0,0,timeout,gcd
50,5,on-merges,False,True,False,True,True,True,45.16,43,4,645,none,gcd
91,6,fpl22,False,True,True,False,False,False,10.62,0,0,0,buffer_placement_failed,gcd
83,6,fpga20,False,True,True,False,False,False,12.5,0,0,0,buffer_placement_failed,gcd
89,6,fpl22,False,False,True,False,False,False,10.85,0,0,0,buffer_placement_failed,gcd
69,5,fpl22,True,False,True,False,False,False,10.2,0,0,0,buffer_placement_failed,gcd
53,5,on-merges,True,False,True,True,True,True,58.29,51,6,863,none,gcd
143,10,fpl22,True,True,True,False,False,False,11.11,0,0,0,buffer_placement_failed,gcd
139,10,fpl22,False,True,True,False,False,False,9.23,0,0,0,buffer_placement_failed,gcd
75,6,on-merges,False,True,True,True,True,True,55.28,51,6,863,none,gcd
138,10,fpl22,False,True,False,False,False,False,60.09,0,0,0,timeout,gcd
103,8,on-merges,True,True,True,True,True,True,56.01,51,6,863,none,gcd
111,8,fpga20,True,True,True,False,False,False,9.68,0,0,0,buffer_placement_failed,gcd
0,3,on-merges,False,False,False,True,True,True,35.61,43,4,645,none,gcd
97,8,on-merges,False,False,True,True,True,True,56.69,51,6,863,none,gcd
