config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,16.84,43,4,145,none,histogram
4,3,on-merges,True,False,False,True,True,True,16.3,43,4,145,none,histogram
8,3,fpga20,False,False,False,True,True,True,23.36,46,7,151,none,histogram
12,3,fpga20,True,False,False,True,True,True,24.17,46,7,151,none,histogram
16,3,fpl22,False,False,False,True,True,True,57.37,47,8,165,none,histogram
20,3,fpl22,True,False,False,True,True,True,57.06,47,8,165,none,histogram
24,4,on-merges,False,False,False,True,True,True,16.18,43,4,145,none,histogram
28,4,on-merges,True,False,False,True,True,True,16.17,43,4,145,none,histogram
32,4,fpga20,False,False,False,True,True,True,24.4,46,7,151,none,histogram
36,4,fpga20,True,False,False,True,True,True,24.32,46,7,151,none,histogram
40,4,fpl22,False,False,False,True,True,True,36.79,47,8,159,none,histogram
44,4,fpl22,True,False,False,True,True,True,36.74,47,8,159,none,histogram
48,5,on-merges,False,False,False,True,True,True,16.17,43,4,145,none,histogram
52,5,on-merges,True,False,False,True,True,True,16.2,43,4,145,none,histogram
56,5,fpga20,False,False,False,True,True,True,21.26,46,7,149,none,histogram
60,5,fpga20,True,False,False,True,True,True,21.27,46,7,149,none,histogram
64,5,fpl22,False,False,False,True,True,True,46.98,47,8,151,none,histogram
68,5,fpl22,True,False,False,True,True,True,46.97,47,8,151,none,histogram
72,6,on-merges,False,False,False,True,True,True,16.23,43,4,145,none,histogram
76,6,on-merges,True,False,False,True,True,True,16.33,43,4,145,none,histogram
80,6,fpga20,False,False,False,True,True,True,24.1,46,7,149,none,histogram
84,6,fpga20,True,False,False,True,True,True,24.15,46,7,149,none,histogram
88,6,fpl22,False,False,False,True,True,True,42.27,47,8,151,none,histogram
92,6,fpl22,True,False,False,True,True,True,42.03,47,8,151,none,histogram
96,8,on-merges,False,False,False,True,True,True,16.33,43,4,145,none,histogram
100,8,on-merges,True,False,False,True,True,True,16.02,43,4,145,none,histogram
104,8,fpga20,False,False,False,True,True,True,21.91,46,7,149,none,histogram
108,8,fpga20,True,False,False,True,True,True,21.86,46,7,149,none,histogram
112,8,fpl22,False,False,False,True,True,True,27.07,47,8,153,none,histogram
116,8,fpl22,True,False,False,True,True,True,27.06,47,8,153,none,histogram
