config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,15.92,43,4,145,none,histogram
4,3,on-merges,True,False,False,True,True,True,15.87,43,4,145,none,histogram
11,3,fpga20,False,True,True,True,True,True,20.33,43,6,158,none,histogram
15,3,fpga20,True,True,True,True,True,True,20.39,43,6,158,none,histogram
20,3,fpl22,True,False,False,True,True,True,56.51,47,8,165,none,histogram
25,4,on-merges,False,False,True,True,True,True,16.61,44,6,161,none,histogram
28,4,on-merges,True,False,False,True,True,True,15.92,43,4,145,none,histogram
37,4,fpga20,True,False,True,True,True,True,29.27,47,9,167,none,histogram
38,4,fpga20,True,True,False,True,True,True,25.83,43,5,142,none,histogram
47,4,fpl22,True,True,True,False,False,False,60.02,0,0,0,timeout,histogram
51,5,on-merges,False,True,True,True,True,True,16.31,43,6,156,none,histogram
52,5,on-merges,True,False,False,True,True,True,15.87,43,4,145,none,histogram
57,5,fpga20,False,False,True,True,True,True,31.31,47,9,165,none,histogram
62,5,fpga20,True,True,False,True,True,True,20.41,43,5,140,none,histogram
68,5,fpl22,True,False,False,True,True,True,46.47,47,8,151,none,histogram
73,6,on-merges,False,False,True,True,True,True,16.61,44,6,161,none,histogram
80,6,fpga20,False,False,False,True,True,True,23.46,46,7,149,none,histogram
85,6,fpga20,True,False,True,True,True,True,24.72,47,9,167,none,histogram
86,6,fpga20,True,True,False,True,True,True,20.53,43,5,140,none,histogram
95,6,fpl22,True,True,True,False,False,False,60.03,0,0,0,timeout,histogram
97,8,on-merges,False,False,True,True,True,True,16.68,44,6,161,none,histogram
104,8,fpga20,False,False,False,True,True,True,21.74,46,7,149,none,histogram
108,8,fpga20,True,False,False,True,True,True,21.78,46,7,149,none,histogram
111,8,fpga20,True,True,True,True,True,True,25.18,43,6,152,none,histogram
118,8,fpl22,True,True,False,True,True,True,23.6,44,6,142,none,histogram
122,10,on-merges,False,True,False,True,True,True,15.5,42,4,140,none,histogram
124,10,on-merges,True,False,False,True,True,True,15.92,43,4,145,none,histogram
130,10,fpga20,False,True,False,True,True,True,20.49,43,5,140,none,histogram
137,10,fpl22,False,False,True,True,True,True,43.61,47,9,163,none,histogram
141,10,fpl22,True,False,True,True,True,True,44.63,47,9,163,none,histogram
