config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,18.55,43,4,145,none,histogram
1,3,on-merges,False,False,True,True,True,True,17.66,44,6,161,none,histogram
2,3,on-merges,False,True,False,True,True,True,16.38,42,4,140,none,histogram
3,3,on-merges,False,True,True,True,True,True,16.41,43,6,156,none,histogram
4,3,on-merges,True,False,False,True,True,True,15.97,43,4,145,none,histogram
5,3,on-merges,True,False,True,True,True,True,16.69,44,6,161,none,histogram
24,4,on-merges,False,False,False,True,True,True,16.07,43,4,145,none,histogram
25,4,on-merges,False,False,True,True,True,True,16.68,44,6,161,none,histogram
26,4,on-merges,False,True,False,True,True,True,15.56,42,4,140,none,histogram
27,4,on-merges,False,True,True,True,True,True,16.35,43,6,156,none,histogram
28,4,on-merges,True,False,False,True,True,True,15.92,43,4,145,none,histogram
29,4,on-merges,True,False,True,True,True,True,16.66,44,6,161,none,histogram
32,4,fpga20,False,False,False,True,True,True,24.15,46,7,151,none,histogram
33,4,fpga20,False,False,True,True,True,True,29.24,47,9,167,none,histogram
34,4,fpga20,False,True,False,True,True,True,25.9,43,5,142,none,histogram
35,4,fpga20,False,True,True,True,True,True,44.97,43,6,156,none,histogram
36,4,fpga20,True,False,False,True,True,True,24.04,46,7,151,none,histogram
37,4,fpga20,True,False,True,True,True,True,29.28,47,9,167,none,histogram
40,4,fpl22,False,False,False,True,True,True,36.32,47,8,159,none,histogram
41,4,fpl22,False,False,True,True,True,True,44.83,46,8,169,none,histogram
42,4,fpl22,False,True,False,False,False,False,60.03,0,0,0,timeout,histogram
43,4,fpl22,False,True,True,False,False,False,60.02,0,0,0,timeout,histogram
44,4,fpl22,True,False,False,True,True,True,36.36,47,8,159,none,histogram
45,4,fpl22,True,False,True,True,True,True,44.86,46,8,169,none,histogram
48,5,on-merges,False,False,False,True,True,True,15.9,43,4,145,none,histogram
49,5,on-merges,False,False,True,True,True,True,16.62,44,6,161,none,histogram
50,5,on-merges,False,True,False,True,True,True,15.54,42,4,140,none,histogram
51,5,on-merges,False,True,True,True,True,True,16.32,43,6,156,none,histogram
52,5,on-merges,True,False,False,True,True,True,15.89,43,4,145,none,histogram
53,5,on-merges,True,False,True,True,True,True,16.63,44,6,161,none,histogram
