config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
28,4,on-merges,True,False,False,True,True,True,15.97,43,4,145,none,histogram
6,3,on-merges,True,True,False,True,True,True,15.55,42,4,140,none,histogram
70,5,fpl22,True,True,False,False,False,False,60.08,0,0,0,timeout,histogram
62,5,fpga20,True,True,False,True,True,True,20.47,43,5,140,none,histogram
57,5,fpga20,False,False,True,True,True,True,31.39,47,9,165,none,histogram
35,4,fpga20,False,True,True,True,True,True,44.96,43,6,156,none,histogram
26,4,on-merges,False,True,False,True,True,True,15.59,42,4,140,none,histogram
22,3,fpl22,True,True,False,True,True,True,49.94,47,9,164,none,histogram
108,8,fpga20,True,False,False,True,True,True,21.75,46,7,149,none,histogram
8,3,fpga20,False,False,False,True,True,True,22.37,46,7,151,none,histogram
7,3,on-merges,True,True,True,True,True,True,16.37,43,6,156,none,histogram
23,3,fpl22,True,True,True,True,True,True,42.71,44,7,166,none,histogram
55,5,on-merges,True,True,True,True,True,True,16.43,43,6,156,none,histogram
59,5,fpga20,False,True,True,True,True,True,30.22,43,6,154,none,histogram
129,10,fpga20,False,False,True,True,True,True,27.77,47,9,163,none,histogram
142,10,fpl22,True,True,False,True,True,True,24.34,44,6,142,none,histogram
50,5,on-merges,False,True,False,True,True,True,15.61,42,4,140,none,histogram
91,6,fpl22,False,True,True,False,False,False,60.03,0,0,0,timeout,histogram
83,6,fpga20,False,True,True,True,True,True,26.55,43,6,154,none,histogram
89,6,fpl22,False,False,True,True,True,True,34.05,47,9,163,none,histogram
69,5,fpl22,True,False,True,False,False,False,60.03,0,0,0,timeout,histogram
53,5,on-merges,True,False,True,True,True,True,16.65,44,6,161,none,histogram
143,10,fpl22,True,True,True,True,True,True,32.46,43,6,154,none,histogram
139,10,fpl22,False,True,True,True,True,True,32.51,43,6,154,none,histogram
75,6,on-merges,False,True,True,True,True,True,16.33,43,6,156,none,histogram
138,10,fpl22,False,True,False,True,True,True,24.24,44,6,142,none,histogram
103,8,on-merges,True,True,True,True,True,True,16.31,43,6,156,none,histogram
111,8,fpga20,True,True,True,True,True,True,25.36,43,6,152,none,histogram
0,3,on-merges,False,False,False,True,True,True,15.98,43,4,145,none,histogram
97,8,on-merges,False,False,True,True,True,True,16.6,44,6,161,none,histogram
