id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,13.38,True,Grid Search
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,21.07,True,Grid Search
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,21.02,True,Grid Search
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,20.87,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,21.54,True,Grid Search
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,19.47,True,Grid Search
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,22.55,True,Grid Search
21,bambu,8,False,,NO_BRAM,MEM_ACC_N1,2,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,19.92,True,Grid Search
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,19.56,True,Grid Search
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,19.99,True,Grid Search
30,bambu,10,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483123,0.4931989920000259,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,18.38,True,Grid Search
33,bambu,10,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483123,0.4931989920000259,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.62,True,Grid Search
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.39,True,Grid Search
39,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.79,True,Grid Search
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483075,5.493198991999983,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.08,True,Grid Search
45,bambu,15,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483075,5.493198991999983,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.39,True,Grid Search
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,20.65,True,Grid Search
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,20.82,True,Grid Search
54,bambu,20,False,,NO_BRAM,MEM_ACC_11,1,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,21.0,True,Grid Search
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,18.7,True,Grid Search
