id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
40,bambu,15,False,,ALL_BRAM,MEM_ACC_NN,1,10.0,8.0,86.40651789498406,3.4267989919999957,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,20.95,False,Random 30%
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.41,False,Random 30%
1,bambu,5,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,2.91,False,Random 30%
47,bambu,15,False,,NO_BRAM,MEM_ACC_NN,2,10.0,12.0,105.2210583069058,5.496198991999983,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,18.82,True,Random 30%
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,11.0,9.0,125.83048111242708,0.05279999600001983,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,20.39,True,Random 30%
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,20.59,True,Random 30%
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,20.61,True,Random 30%
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,21.26,True,Random 30%
56,bambu,20,False,,NO_BRAM,MEM_ACC_N1,1,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.79,True,Random 30%
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,20.92,True,Random 30%
43,bambu,15,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.05,False,Random 30%
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,15.26,True,Random 30%
34,bambu,10,False,,NO_BRAM,MEM_ACC_NN,1,10.0,12.0,105.2210583069063,0.49619899200002604,527.0,389.0,138.0,0.0,322.0,48.0,12.0,9.0,20.62,False,Random 30%
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,21.09,True,Random 30%
37,bambu,15,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.12,False,Random 30%
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,18.85,True,Random 30%
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,20.93,True,Random 30%
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,10.0,12.0,105.18785437483076,10.493198991999984,460.0,322.0,138.0,0.0,322.0,48.0,12.0,9.0,20.28,True,Random 30%
