id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,21.26,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,21.0,True,Grid Search
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,360.0,256.0,104.0,0.0,257.0,48.0,9.0,6.0,23.48,True,Grid Search
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,21.9,True,Grid Search
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,359.0,256.0,103.0,0.0,225.0,48.0,8.0,5.0,23.13,True,Grid Search
60,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,17.5,False,Grid Search
72,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.26,False,Grid Search
84,bambu,5,True,4.0,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,,,,,,,,,20.63,False,Grid Search
96,bambu,8,True,1.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,20.7,False,Grid Search
108,bambu,8,True,2.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,22.55,False,Grid Search
120,bambu,8,True,4.0,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,,,,,,,,,21.14,False,Grid Search
132,bambu,10,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,,,,,,,,,21.34,False,Grid Search
144,bambu,10,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,,,,,,,,,21.55,False,Grid Search
156,bambu,10,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,103.85077631770244,0.370798992000027,,,,,,,,,21.87,False,Grid Search
168,bambu,15,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,16.49,False,Grid Search
180,bambu,15,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,17.38,False,Grid Search
192,bambu,15,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758764,3.617798991999998,,,,,,,,,20.78,False,Grid Search
204,bambu,20,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,,,,,,,,,20.15,False,Grid Search
216,bambu,20,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,,,,,,,,,20.19,False,Grid Search
228,bambu,20,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,87.85646987758756,8.617798991999985,,,,,,,,,20.36,False,Grid Search
