id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy,benchmark,error_type,pruned_by_autophagy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,20.3,True,PA-DSE,histogram,,False
1,bambu,5,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.09,False,PA-DSE,histogram,,False
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,20.66,True,PA-DSE,histogram,,False
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,17.97,True,PA-DSE,histogram,,False
4,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,1,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,23.36,False,PA-DSE,histogram,,False
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,14.0,12.0,218.40737328982172,0.4213999969999993,359.0,256.0,103.0,0.0,310.0,48.0,16.0,5.0,21.01,True,PA-DSE,histogram,,False
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,23.99,True,PA-DSE,histogram,,False
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.08,False,PA-DSE,histogram,,False
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,18.47,True,PA-DSE,histogram,,False
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,12.0,14.0,218.40737328982172,0.4213999969999993,459.0,322.0,137.0,0.0,340.0,48.0,16.0,8.0,21.22,True,PA-DSE,histogram,,False
10,bambu,5,False,,NO_BRAM,MEM_ACC_NN,1,12.0,14.0,218.40737328982172,0.4213999969999993,526.0,389.0,137.0,0.0,340.0,48.0,16.0,8.0,21.54,False,PA-DSE,histogram,,False
11,bambu,5,False,,NO_BRAM,MEM_ACC_NN,2,12.0,14.0,218.40737328982172,0.4213999969999993,526.0,389.0,137.0,0.0,340.0,48.0,16.0,8.0,21.77,True,PA-DSE,histogram,,False
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,22.91,True,PA-DSE,histogram,,False
13,bambu,8,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.92,False,PA-DSE,histogram,,False
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,26.82,True,PA-DSE,histogram,,False
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,11.0,9.0,128.92911470620749,0.24379999600002233,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,23.05,True,PA-DSE,histogram,,False
16,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,1,11.0,9.0,125.83048111242708,0.05279999600001983,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,21.72,False,PA-DSE,histogram,,False
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,11.0,9.0,125.83048111242708,0.05279999600001983,359.0,256.0,103.0,0.0,243.0,48.0,12.0,5.0,19.52,True,PA-DSE,histogram,,False
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,11.0,13.0,156.88240749624057,1.6257989920000224,460.0,322.0,138.0,0.0,354.0,48.0,13.0,9.0,18.24,True,PA-DSE,histogram,,False
19,bambu,8,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.43,False,PA-DSE,histogram,,False
