config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,42.17,63,14,366,none,matching
4,3,on-merges,True,False,False,True,True,True,42.94,63,14,366,none,matching
8,3,fpga20,False,False,False,False,False,False,60.1,0,0,0,timeout,matching
12,3,fpga20,True,False,False,False,False,False,60.11,0,0,0,timeout,matching
16,3,fpl22,False,False,False,False,False,False,60.11,0,0,0,timeout,matching
20,3,fpl22,True,False,False,False,False,False,60.1,0,0,0,timeout,matching
24,4,on-merges,False,False,False,True,True,True,29.61,63,14,366,none,matching
28,4,on-merges,True,False,False,True,True,True,29.95,63,14,366,none,matching
32,4,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,matching
36,4,fpga20,True,False,False,False,False,False,60.06,0,0,0,timeout,matching
40,4,fpl22,False,False,False,False,False,False,60.09,0,0,0,timeout,matching
44,4,fpl22,True,False,False,False,False,False,60.08,0,0,0,timeout,matching
48,5,on-merges,False,False,False,True,True,True,30.53,63,14,366,none,matching
52,5,on-merges,True,False,False,True,True,True,30.81,63,14,366,none,matching
56,5,fpga20,False,False,False,False,False,False,60.09,0,0,0,timeout,matching
60,5,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,matching
64,5,fpl22,False,False,False,False,False,False,60.09,0,0,0,timeout,matching
68,5,fpl22,True,False,False,False,False,False,60.1,0,0,0,timeout,matching
72,6,on-merges,False,False,False,True,True,True,29.86,63,14,366,none,matching
76,6,on-merges,True,False,False,True,True,True,30.83,63,14,366,none,matching
80,6,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,matching
84,6,fpga20,True,False,False,False,False,False,60.09,0,0,0,timeout,matching
88,6,fpl22,False,False,False,False,False,False,60.07,0,0,0,timeout,matching
92,6,fpl22,True,False,False,False,False,False,60.09,0,0,0,timeout,matching
96,8,on-merges,False,False,False,True,True,True,30.27,63,14,366,none,matching
100,8,on-merges,True,False,False,True,True,True,29.39,63,14,366,none,matching
104,8,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,matching
108,8,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,matching
112,8,fpl22,False,False,False,False,False,False,60.09,0,0,0,timeout,matching
116,8,fpl22,True,False,False,False,False,False,60.15,0,0,0,timeout,matching
