config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,28.09,63,14,366,none,matching
4,3,on-merges,True,False,False,True,True,True,30.2,63,14,366,none,matching
11,3,fpga20,False,True,True,False,False,False,5.74,0,0,0,buffer_placement_failed,matching
15,3,fpga20,True,True,True,False,False,False,5.17,0,0,0,buffer_placement_failed,matching
20,3,fpl22,True,False,False,False,False,False,60.11,0,0,0,timeout,matching
25,4,on-merges,False,False,True,True,True,True,33.76,76,14,356,none,matching
28,4,on-merges,True,False,False,True,True,True,31.43,63,14,366,none,matching
37,4,fpga20,True,False,True,False,False,False,5.7,0,0,0,buffer_placement_failed,matching
38,4,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,matching
47,4,fpl22,True,True,True,False,False,False,5.7,0,0,0,buffer_placement_failed,matching
51,5,on-merges,False,True,True,True,True,True,36.56,75,14,338,none,matching
52,5,on-merges,True,False,False,True,True,True,30.38,63,14,366,none,matching
57,5,fpga20,False,False,True,False,False,False,5.59,0,0,0,buffer_placement_failed,matching
62,5,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,matching
68,5,fpl22,True,False,False,False,False,False,60.08,0,0,0,timeout,matching
73,6,on-merges,False,False,True,True,True,True,33.81,76,14,356,none,matching
80,6,fpga20,False,False,False,False,False,False,60.08,0,0,0,timeout,matching
85,6,fpga20,True,False,True,False,False,False,5.27,0,0,0,buffer_placement_failed,matching
86,6,fpga20,True,True,False,False,False,False,60.08,0,0,0,timeout,matching
95,6,fpl22,True,True,True,False,False,False,5.15,0,0,0,buffer_placement_failed,matching
97,8,on-merges,False,False,True,True,True,True,34.14,76,14,356,none,matching
104,8,fpga20,False,False,False,False,False,False,60.05,0,0,0,timeout,matching
108,8,fpga20,True,False,False,False,False,False,60.08,0,0,0,timeout,matching
111,8,fpga20,True,True,True,False,False,False,5.18,0,0,0,buffer_placement_failed,matching
118,8,fpl22,True,True,False,False,False,False,60.08,0,0,0,timeout,matching
122,10,on-merges,False,True,False,True,True,True,28.34,62,14,348,none,matching
124,10,on-merges,True,False,False,True,True,True,28.9,63,14,366,none,matching
130,10,fpga20,False,True,False,False,False,False,60.08,0,0,0,timeout,matching
137,10,fpl22,False,False,True,False,False,False,5.33,0,0,0,buffer_placement_failed,matching
141,10,fpl22,True,False,True,False,False,False,5.16,0,0,0,buffer_placement_failed,matching
