config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,28.48,63,14,366,none,matching
1,3,on-merges,False,False,True,True,True,True,35.23,76,14,356,none,matching
2,3,on-merges,False,True,False,True,True,True,28.84,62,14,348,none,matching
3,3,on-merges,False,True,True,True,True,True,33.71,75,14,338,none,matching
4,3,on-merges,True,False,False,True,True,True,28.56,63,14,366,none,matching
5,3,on-merges,True,False,True,True,True,True,34.35,76,14,356,none,matching
24,4,on-merges,False,False,False,True,True,True,28.6,63,14,366,none,matching
25,4,on-merges,False,False,True,True,True,True,33.85,76,14,356,none,matching
26,4,on-merges,False,True,False,True,True,True,27.91,62,14,348,none,matching
27,4,on-merges,False,True,True,True,True,True,34.32,75,14,338,none,matching
28,4,on-merges,True,False,False,True,True,True,28.72,63,14,366,none,matching
29,4,on-merges,True,False,True,True,True,True,34.15,76,14,356,none,matching
48,5,on-merges,False,False,False,True,True,True,32.85,63,14,366,none,matching
49,5,on-merges,False,False,True,True,True,True,52.56,76,14,356,none,matching
50,5,on-merges,False,True,False,True,True,True,39.79,62,14,348,none,matching
51,5,on-merges,False,True,True,True,True,True,46.52,75,14,338,none,matching
52,5,on-merges,True,False,False,True,True,True,39.7,63,14,366,none,matching
53,5,on-merges,True,False,True,True,True,True,47.02,76,14,356,none,matching
72,6,on-merges,False,False,False,True,True,True,40.57,63,14,366,none,matching
73,6,on-merges,False,False,True,True,True,True,49.11,76,14,356,none,matching
74,6,on-merges,False,True,False,True,True,True,38.9,62,14,348,none,matching
75,6,on-merges,False,True,True,True,True,True,32.65,75,14,338,none,matching
76,6,on-merges,True,False,False,True,True,True,27.87,63,14,366,none,matching
77,6,on-merges,True,False,True,True,True,True,32.57,76,14,356,none,matching
96,8,on-merges,False,False,False,True,True,True,27.39,63,14,366,none,matching
97,8,on-merges,False,False,True,True,True,True,32.78,76,14,356,none,matching
98,8,on-merges,False,True,False,True,True,True,26.45,62,14,348,none,matching
99,8,on-merges,False,True,True,True,True,True,32.58,75,14,338,none,matching
100,8,on-merges,True,False,False,True,True,True,40.97,63,14,366,none,matching
101,8,on-merges,True,False,True,True,True,True,50.94,76,14,356,none,matching
