config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
28,4,on-merges,True,False,False,True,True,True,50.72,63,14,366,none,matching
6,3,on-merges,True,True,False,True,True,True,47.92,62,14,348,none,matching
70,5,fpl22,True,True,False,False,False,False,60.09,0,0,0,timeout,matching
62,5,fpga20,True,True,False,False,False,False,60.09,0,0,0,timeout,matching
57,5,fpga20,False,False,True,False,False,False,7.7,0,0,0,buffer_placement_failed,matching
35,4,fpga20,False,True,True,False,False,False,8.05,0,0,0,buffer_placement_failed,matching
26,4,on-merges,False,True,False,True,True,True,42.39,62,14,348,none,matching
22,3,fpl22,True,True,False,False,False,False,60.1,0,0,0,timeout,matching
108,8,fpga20,True,False,False,False,False,False,60.11,0,0,0,timeout,matching
8,3,fpga20,False,False,False,False,False,False,60.12,0,0,0,timeout,matching
7,3,on-merges,True,True,True,True,True,True,35.27,75,14,338,none,matching
23,3,fpl22,True,True,True,False,False,False,5.14,0,0,0,buffer_placement_failed,matching
55,5,on-merges,True,True,True,True,True,True,34.8,75,14,338,none,matching
59,5,fpga20,False,True,True,False,False,False,5.23,0,0,0,buffer_placement_failed,matching
129,10,fpga20,False,False,True,False,False,False,5.51,0,0,0,buffer_placement_failed,matching
142,10,fpl22,True,True,False,False,False,False,60.09,0,0,0,timeout,matching
50,5,on-merges,False,True,False,True,True,True,27.49,62,14,348,none,matching
91,6,fpl22,False,True,True,False,False,False,5.08,0,0,0,buffer_placement_failed,matching
83,6,fpga20,False,True,True,False,False,False,5.12,0,0,0,buffer_placement_failed,matching
89,6,fpl22,False,False,True,False,False,False,5.34,0,0,0,buffer_placement_failed,matching
69,5,fpl22,True,False,True,False,False,False,5.1,0,0,0,buffer_placement_failed,matching
53,5,on-merges,True,False,True,True,True,True,33.5,76,14,356,none,matching
143,10,fpl22,True,True,True,False,False,False,5.19,0,0,0,buffer_placement_failed,matching
139,10,fpl22,False,True,True,False,False,False,5.4,0,0,0,buffer_placement_failed,matching
75,6,on-merges,False,True,True,True,True,True,33.55,75,14,338,none,matching
138,10,fpl22,False,True,False,False,False,False,60.09,0,0,0,timeout,matching
103,8,on-merges,True,True,True,True,True,True,32.92,75,14,338,none,matching
111,8,fpga20,True,True,True,False,False,False,5.05,0,0,0,buffer_placement_failed,matching
0,3,on-merges,False,False,False,True,True,True,27.84,63,14,366,none,matching
97,8,on-merges,False,False,True,True,True,True,33.59,76,14,356,none,matching
