id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
40,bambu,15,False,,ALL_BRAM,MEM_ACC_NN,1,12.0,10.0,70.70335699539015,0.8564000000000018,445.0,375.0,70.0,3.0,323.0,41.0,13.0,8.0,16.45,False,Random 30%
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.84,False,Random 30%
1,bambu,5,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.26,False,Random 30%
47,bambu,15,False,,NO_BRAM,MEM_ACC_NN,2,11.0,12.0,82.82122210995347,2.9258000000000033,781.0,642.0,139.0,3.0,419.0,42.0,16.0,10.0,17.94,True,Random 30%
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,13.0,11.0,152.79772636983157,1.4553999999999985,444.0,376.0,68.0,3.0,355.0,42.0,14.0,6.0,20.38,True,Random 30%
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,21.09,True,Random 30%
14,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,1,14.0,12.0,157.39108536892473,1.646400000000001,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,20.59,True,Random 30%
8,bambu,5,False,,NO_BRAM,MEM_ACC_N1,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,20.72,True,Random 30%
56,bambu,20,False,,NO_BRAM,MEM_ACC_N1,1,12.0,14.0,82.80064915708941,7.922800000000003,545.0,441.0,104.0,3.0,419.0,41.0,16.0,11.0,21.47,True,Random 30%
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,15.0,17.0,225.6012271179886,0.5673999970000001,545.0,441.0,104.0,3.0,451.0,41.0,17.0,11.0,19.52,True,Random 30%
43,bambu,15,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.68,False,Random 30%
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,12.0,10.0,71.67122973495988,6.047400000000018,445.0,375.0,70.0,3.0,323.0,41.0,13.0,8.0,19.67,True,Random 30%
34,bambu,10,False,,NO_BRAM,MEM_ACC_NN,1,13.0,15.0,118.48341232227484,1.5599999999999963,612.0,508.0,104.0,3.0,451.0,41.0,17.0,11.0,17.57,False,Random 30%
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,17.0,15.0,225.6012271179886,0.5673999970000001,444.0,376.0,68.0,3.0,451.0,42.0,17.0,6.0,20.36,True,Random 30%
37,bambu,15,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.84,False,Random 30%
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,13.0,11.0,118.48341232227484,1.5599999999999963,445.0,375.0,70.0,3.0,387.0,41.0,15.0,8.0,19.72,True,Random 30%
2,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,1,18.0,16.0,225.6012271179886,0.5673999970000001,445.0,375.0,70.0,3.0,451.0,41.0,17.0,8.0,20.56,True,Random 30%
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,12.0,14.0,82.80064915708941,7.922800000000003,545.0,441.0,104.0,3.0,419.0,41.0,16.0,11.0,21.53,True,Random 30%
