id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,220.33226104966292,0.4614000000000005,201.0,166.0,35.0,0.0,225.0,18.0,8.0,3.0,17.36,True,Grid Search
3,bambu,5,False,,ALL_BRAM,MEM_ACC_N1,2,10.0,8.0,220.33226104966292,0.4614000000000005,201.0,166.0,35.0,0.0,225.0,18.0,8.0,3.0,19.9,True,Grid Search
6,bambu,5,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.33226104966292,0.4614000000000005,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,17.34,True,Grid Search
9,bambu,5,False,,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.33226104966292,0.4614000000000005,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,21.64,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,2.1510000000000042,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.12,True,Grid Search
15,bambu,8,False,,ALL_BRAM,MEM_ACC_N1,2,8.0,6.0,170.96939647803055,2.1510000000000042,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,20.16,True,Grid Search
18,bambu,8,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.3322610496628,3.4613999999999985,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,21.29,True,Grid Search
21,bambu,8,False,,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.3322610496628,3.4613999999999985,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,22.03,True,Grid Search
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,4.151000000000004,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,20.83,True,Grid Search
27,bambu,10,False,,ALL_BRAM,MEM_ACC_N1,2,8.0,6.0,170.96939647803055,4.151000000000004,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.67,True,Grid Search
30,bambu,10,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.3322610496628,5.4613999999999985,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,20.4,True,Grid Search
33,bambu,10,False,,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.3322610496628,5.4613999999999985,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,21.7,True,Grid Search
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,9.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,15.67,True,Grid Search
39,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,2,8.0,6.0,170.96939647803057,9.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,20.29,True,Grid Search
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.3322610496632,10.461400000000006,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,21.46,True,Grid Search
45,bambu,15,False,,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.3322610496632,10.461400000000006,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,13.42,True,Grid Search
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,14.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.34,True,Grid Search
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,8.0,6.0,170.96939647803057,14.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,20.68,True,Grid Search
54,bambu,20,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.3322610496632,15.461400000000006,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,21.3,True,Grid Search
57,bambu,20,False,,NO_BRAM,MEM_ACC_N1,2,8.0,9.0,220.3322610496632,15.461400000000006,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,20.92,True,Grid Search
