id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
34,bambu,10,False,,NO_BRAM,MEM_ACC_NN,1,8.0,9.0,220.3322610496628,5.4613999999999985,369.0,299.0,70.0,0.0,225.0,18.0,8.0,5.0,21.16,False,LHS 20%
37,bambu,15,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,4.8,False,LHS 20%
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,14.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,18.64,True,LHS 20%
11,bambu,5,False,,NO_BRAM,MEM_ACC_NN,2,7.0,7.0,220.33226104966292,0.4614000000000005,536.0,433.0,103.0,0.0,225.0,19.0,8.0,5.0,20.66,True,LHS 20%
16,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,1,8.0,6.0,165.5629139072848,1.960000000000002,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.29,False,LHS 20%
17,bambu,8,False,,ALL_BRAM,MEM_ACC_NN,2,7.0,5.0,165.5629139072848,1.960000000000002,201.0,167.0,34.0,0.0,97.0,19.0,4.0,2.0,20.92,True,LHS 20%
13,bambu,8,False,,ALL_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.75,False,LHS 20%
10,bambu,5,False,,NO_BRAM,MEM_ACC_NN,1,8.0,9.0,220.33226104966292,0.4614000000000005,369.0,299.0,70.0,0.0,225.0,18.0,8.0,5.0,20.73,False,LHS 20%
7,bambu,5,False,,NO_BRAM,MEM_ACC_11,2,,,,,,,,,,,,,3.37,False,LHS 20%
51,bambu,20,False,,ALL_BRAM,MEM_ACC_N1,2,8.0,6.0,170.96939647803057,14.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,13.47,True,LHS 20%
5,bambu,5,False,,ALL_BRAM,MEM_ACC_NN,2,9.0,7.0,220.33226104966292,0.4614000000000005,201.0,167.0,34.0,0.0,225.0,19.0,8.0,2.0,21.23,True,LHS 20%
42,bambu,15,False,,NO_BRAM,MEM_ACC_11,1,8.0,9.0,220.3322610496632,10.461400000000006,302.0,232.0,70.0,0.0,225.0,18.0,8.0,5.0,20.88,True,LHS 20%
39,bambu,15,False,,ALL_BRAM,MEM_ACC_N1,2,8.0,6.0,170.96939647803057,9.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,19.59,True,LHS 20%
