id,tool,clock_period,pipeline,pipeline_ii,memory_policy,channels_type,channels_number,num_control_steps,num_states,max_freq_mhz,min_slack,total_area,area_no_mux,mux_area,num_dsps,num_ffs,num_modules,num_registers,num_muxes,runtime_s,success,strategy
0,bambu,5,False,,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,220.33226104966292,0.4614000000000005,201.0,166.0,35.0,0.0,225.0,18.0,8.0,3.0,18.11,True,Grid Search
12,bambu,8,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,2.1510000000000042,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.18,True,Grid Search
24,bambu,10,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,4.151000000000004,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,20.27,True,Grid Search
36,bambu,15,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,9.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,21.18,True,Grid Search
48,bambu,20,False,,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,14.151000000000005,201.0,166.0,35.0,0.0,161.0,18.0,6.0,3.0,20.3,True,Grid Search
60,bambu,5,True,1.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,220.33226104966292,0.4614000000000005,,,,,,,,,17.49,False,Grid Search
72,bambu,5,True,2.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,220.33226104966292,0.4614000000000005,,,,,,,,,18.61,False,Grid Search
84,bambu,5,True,4.0,ALL_BRAM,MEM_ACC_11,1,10.0,8.0,220.33226104966292,0.4614000000000005,,,,,,,,,19.16,False,Grid Search
96,bambu,8,True,1.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,2.1510000000000042,,,,,,,,,20.35,False,Grid Search
108,bambu,8,True,2.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,2.1510000000000042,,,,,,,,,18.3,False,Grid Search
120,bambu,8,True,4.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,2.1510000000000042,,,,,,,,,20.27,False,Grid Search
132,bambu,10,True,1.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,4.151000000000004,,,,,,,,,19.96,False,Grid Search
144,bambu,10,True,2.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,4.151000000000004,,,,,,,,,19.62,False,Grid Search
156,bambu,10,True,4.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803055,4.151000000000004,,,,,,,,,20.04,False,Grid Search
168,bambu,15,True,1.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,9.151000000000005,,,,,,,,,19.38,False,Grid Search
180,bambu,15,True,2.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,9.151000000000005,,,,,,,,,19.79,False,Grid Search
192,bambu,15,True,4.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,9.151000000000005,,,,,,,,,17.88,False,Grid Search
204,bambu,20,True,1.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,14.151000000000005,,,,,,,,,17.28,False,Grid Search
216,bambu,20,True,2.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,14.151000000000005,,,,,,,,,18.89,False,Grid Search
228,bambu,20,True,4.0,ALL_BRAM,MEM_ACC_11,1,8.0,6.0,170.96939647803057,14.151000000000005,,,,,,,,,19.53,False,Grid Search
