run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_4599839,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,0,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,429.0,429.0,9,20,17.7,148.304,0,0,,0,0,0,3.77,14.54,456.58
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_4748144,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,1,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,9.703,153.812,0,0,,0,0,0,4.08,17.43,761.94
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_4901956,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,2,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.677,159.97,0,0,,0,0,0,4.08,19.7,807.85
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_5061926,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,3,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.621,159.459,0,0,,0,0,0,5.26,19.37,1018.96
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_5221385,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,4,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,15.688,157.603,0,0,,0,0,0,5.23,19.17,697.9
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_5378988,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,5,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.643,159.784,0,0,,0,0,0,6.48,20.47,1008.13
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_5538772,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,6,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,5.228,158.939,0,0,,0,0,0,5.11,22.94,787.73
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_5697712,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,7,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,5.209,159.652,0,0,,0,0,0,5.39,20.2,1017.66
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_5857364,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,8,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,15.531,158.614,0,0,,0,0,0,4.98,20.0,875.64
PA-DSE_SCF+DFRL+QSD+QAT_matmul_B60_sNone_6015978,PA-DSE_SCF+DFRL+QSD+QAT,matmul,bambu,60,,9,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,15.603,158.194,0,0,,0,0,0,5.52,19.49,616.59
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_6174173,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,0,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,201.0,201.0,5,8,17.98,156.973,0,0,,0,0,0,5.48,19.9,634.48
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_6331147,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,1,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,10.31,156.723,0,0,,0,0,0,3.61,21.15,730.23
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_6487870,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,2,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.567,155.619,0,0,,0,0,0,3.64,20.32,790.11
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_6643490,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,3,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.608,157.006,0,0,,0,0,0,3.45,22.07,953.71
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_6800496,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,4,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,15.432,154.203,0,0,,0,0,0,3.78,21.03,694.52
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_6954700,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,5,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.572,155.374,0,0,,0,0,0,3.2,19.95,864.42
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_7110073,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,6,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,5.094,156.54,0,0,,0,0,0,3.2,21.9,833.49
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_7266614,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,7,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,5.197,155.745,0,0,,0,0,0,4.59,20.38,976.09
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_7422359,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,8,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,15.432,156.292,0,0,,0,0,0,4.29,22.83,755.15
PA-DSE_SCF+DFRL+QSD+QAT_vadd_B60_sNone_7578651,PA-DSE_SCF+DFRL+QSD+QAT,vadd,bambu,60,,9,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,15.281,155.93,0,0,,0,0,0,3.64,19.61,725.45
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_7734581,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,0,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,262.0,262.0,8,19,18.19,157.964,0,0,,0,0,0,5.76,22.3,589.43
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_7892546,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,1,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,10.386,159.058,0,0,,0,0,0,4.88,20.14,832.43
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_8051604,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,2,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,2.632,158.868,0,0,,0,0,0,5.55,21.07,802.04
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_8210472,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,3,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,2.615,158.123,0,0,,0,0,0,4.81,21.15,1006.43
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_8368595,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,4,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,262.0,262.0,8,19,15.408,157.518,0,0,,0,0,0,5.81,19.52,676.34
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_8526113,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,5,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,2.598,157.905,0,0,,0,0,0,6.01,19.81,986.26
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_8684018,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,6,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,5.176,158.11,0,0,,0,0,0,6.86,23.08,786.67
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_8842128,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,7,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,5.203,158.618,0,0,,0,0,0,5.47,20.27,1040.67
PA-DSE_SCF+DFRL+QSD+QAT_fir_B60_sNone_9000747,PA-DSE_SCF+DFRL+QSD+QAT,fir,bambu,60,,8,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,262.0,262.0,8,19,15.684,157.375,0,0,,0,0,0,5.73,20.85,866.23
