run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_8458330,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,component_count,43.0,43.0,525,10,6.724,426.395,0,0,,0,0,0,0.83,4.93,150.97
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_8884726,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,43.0,43.0,549,4,10.200,134.453,0,0,,0,0,0,0.37,4.99,130.51
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_9019179,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,43.0,43.0,587,3,9.897,128.919,0,0,,0,0,0,0.33,4.99,127.87
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_9148098,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,3,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,43.0,43.0,531,6,3.822,164.065,0,0,,0,0,0,0.35,5.01,150.02
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_9312163,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,4,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,component_count,43.0,43.0,575,3,6.171,145.992,0,0,,0,0,0,0.37,5.13,135.80
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_9458156,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,5,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,43.0,43.0,549,9,3.205,1012.726,0,0,,0,0,0,0.33,4.96,167.46
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_470882,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,6,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,43.0,43.0,525,8,5.581,189.880,0,0,,0,0,0,0.35,5.04,184.61
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_660762,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,7,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,43.0,43.0,535,5,5.842,116.877,0,0,,0,0,0,0.33,5.11,136.09
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_777639,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,8,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,43.0,43.0,525,6,5.590,164.750,0,0,,0,0,0,0.33,4.83,160.09
PA-DSE_SCF+DFRL+QSD+QAT_gcd_B30_sNone_942390,PA-DSE_SCF+DFRL+QSD+QAT,gcd,dynamatic,30,,9,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,43.0,43.0,525,8,22.572,184.818,0,0,,0,0,0,0.32,4.94,155.72
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_1127208,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,58.0,58.0,310,11,5.148,198.489,0,0,,0,0,0,0.32,5.14,154.54
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_1325698,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,61.0,61.0,338,8,5.095,246.575,0,0,,0,0,0,0.33,5.09,151.51
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_1572273,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,58.0,58.0,310,15,4.544,125.437,0,0,,0,0,0,0.35,4.90,182.80
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_1697710,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,3,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,58.0,58.0,310,14,4.285,121.962,0,0,,0,0,0,0.33,5.20,175.26
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_1819672,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,4,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,58.0,58.0,310,8,5.025,114.172,0,0,,0,0,0,0.33,5.26,148.40
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_1933844,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,5,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,57.0,57.0,314,9,3.685,567.775,0,0,,0,0,0,0.34,5.07,148.99
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_2501619,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,6,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,59.0,59.0,336,8,4.490,125.753,0,0,,0,0,0,0.36,5.10,190.78
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_2627372,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,7,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,58.0,58.0,310,10,4.259,132.701,0,0,,0,0,0,0.32,5.19,187.92
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_2760073,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,8,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,59.0,59.0,310,12,4.602,121.118,0,0,,0,0,0,0.33,5.03,156.35
PA-DSE_SCF+DFRL+QSD+QAT_matching_B30_sNone_2881192,PA-DSE_SCF+DFRL+QSD+QAT,matching,dynamatic,30,,9,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,58.0,58.0,310,14,4.761,122.900,0,0,,0,0,0,0.37,5.09,160.83
PA-DSE_SCF+DFRL+QSD+QAT_binary_search_B30_sNone_3004092,PA-DSE_SCF+DFRL+QSD+QAT,binary_search,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,34.0,34.0,237,8,3.169,76.756,0,0,,0,0,0,0.35,5.17,161.16
PA-DSE_SCF+DFRL+QSD+QAT_binary_search_B30_sNone_3080848,PA-DSE_SCF+DFRL+QSD+QAT,binary_search,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,34.0,34.0,237,16,4.266,90.097,0,0,,0,0,0,0.38,5.29,166.98
