run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+DFRL_matmul_B60_sNone_5964993,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,429.0,429.0,9,20,17.277,149.720,0,0,,0,0,0,4.37,11.79,299.83
PA-DSE_SCF+DFRL_matmul_B60_sNone_6114714,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,9.774,148.770,0,0,,0,0,0,4.96,9.80,304.09
PA-DSE_SCF+DFRL_matmul_B60_sNone_6263484,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.442,148.814,0,0,,0,0,0,4.64,9.80,295.01
PA-DSE_SCF+DFRL_matmul_B60_sNone_6412298,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.473,148.501,0,0,,0,0,0,6.46,10.12,303.71
PA-DSE_SCF+DFRL_matmul_B60_sNone_6560799,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,14.706,148.518,0,0,,0,0,0,4.45,9.98,297.41
PA-DSE_SCF+DFRL_matmul_B60_sNone_6709317,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.477,148.235,0,0,,0,0,0,4.38,10.22,301.59
PA-DSE_SCF+DFRL_matmul_B60_sNone_6857552,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,4.978,149.979,0,0,,0,0,0,4.98,10.05,300.25
PA-DSE_SCF+DFRL_matmul_B60_sNone_7007531,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,5.093,149.115,0,0,,0,0,0,4.35,9.94,291.29
PA-DSE_SCF+DFRL_matmul_B60_sNone_7156647,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,14.781,149.020,0,0,,0,0,0,4.63,10.21,318.40
PA-DSE_SCF+DFRL_matmul_B60_sNone_7305667,PA-DSE_SCF+DFRL,matmul,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,14.706,148.632,0,0,,0,0,0,4.34,10.41,299.17
PA-DSE_SCF+DFRL_vadd_B60_sNone_7454299,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,201.0,201.0,5,8,16.801,145.481,0,0,,0,0,0,2.88,9.84,297.92
PA-DSE_SCF+DFRL_vadd_B60_sNone_7599780,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,9.642,145.659,0,0,,0,0,0,3.27,9.97,296.68
PA-DSE_SCF+DFRL_vadd_B60_sNone_7745439,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.412,145.526,0,0,,0,0,0,3.04,9.57,299.91
PA-DSE_SCF+DFRL_vadd_B60_sNone_7890965,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.415,146.079,0,0,,0,0,0,3.37,10.04,300.11
PA-DSE_SCF+DFRL_vadd_B60_sNone_8037045,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,14.499,146.382,0,0,,0,0,0,3.16,10.30,297.78
PA-DSE_SCF+DFRL_vadd_B60_sNone_8183427,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.425,146.231,0,0,,0,0,0,2.90,10.33,296.14
PA-DSE_SCF+DFRL_vadd_B60_sNone_8329658,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,4.827,146.678,0,0,,0,0,0,3.26,10.16,296.69
PA-DSE_SCF+DFRL_vadd_B60_sNone_8476336,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,4.870,146.221,0,0,,0,0,0,3.67,10.17,300.05
PA-DSE_SCF+DFRL_vadd_B60_sNone_8622557,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,14.609,146.662,0,0,,0,0,0,3.06,10.02,316.64
PA-DSE_SCF+DFRL_vadd_B60_sNone_8769219,PA-DSE_SCF+DFRL,vadd,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,14.369,145.850,0,0,,0,0,0,4.26,10.11,293.80
PA-DSE_SCF+DFRL_fir_B60_sNone_8915069,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,262.0,262.0,8,19,17.076,147.635,0,0,,0,0,0,4.71,10.06,311.52
PA-DSE_SCF+DFRL_fir_B60_sNone_9062705,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,9.795,147.717,0,0,,0,0,0,4.54,10.31,308.55
PA-DSE_SCF+DFRL_fir_B60_sNone_9210422,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,2.446,148.075,0,0,,0,0,0,4.38,9.80,309.24
PA-DSE_SCF+DFRL_fir_B60_sNone_9358498,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,2.465,148.339,0,0,,0,0,0,4.43,10.06,292.81
PA-DSE_SCF+DFRL_fir_B60_sNone_9506837,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,262.0,262.0,8,19,14.563,148.394,0,0,,0,0,0,4.42,9.93,296.74
PA-DSE_SCF+DFRL_fir_B60_sNone_9655231,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,2.548,149.311,0,0,,0,0,0,8.08,10.48,296.71
PA-DSE_SCF+DFRL_fir_B60_sNone_9804542,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,4.923,148.906,0,0,,0,0,0,5.19,10.16,305.38
PA-DSE_SCF+DFRL_fir_B60_sNone_9953448,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,262.0,262.0,8,19,4.892,150.005,0,0,,0,0,0,4.52,10.01,303.01
PA-DSE_SCF+DFRL_fir_B60_sNone_103453,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,262.0,262.0,8,19,14.775,150.161,0,0,,0,0,0,4.45,10.28,303.89
PA-DSE_SCF+DFRL_fir_B60_sNone_253614,PA-DSE_SCF+DFRL,fir,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,55,5,91.7,area,262.0,262.0,8,19,14.876,149.549,0,0,,0,0,0,3.76,10.19,291.33
PA-DSE_SCF+DFRL_histogram_B60_sNone_403163,PA-DSE_SCF+DFRL,histogram,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,54,6,90.0,area,359.0,359.0,8,13,17.536,151.686,0,0,,0,0,0,5.31,10.16,295.86
PA-DSE_SCF+DFRL_histogram_B60_sNone_554849,PA-DSE_SCF+DFRL,histogram,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,359.0,359.0,8,13,9.964,151.939,0,0,,0,0,0,6.27,10.02,305.08
PA-DSE_SCF+DFRL_histogram_B60_sNone_706788,PA-DSE_SCF+DFRL,histogram,bambu,60,,,SCF+DFRL,2,0.8,5,0.05,60,56,4,93.3,area,359.0,359.0,8,13,2.662,152.117,0,0,,0,0,0,4.51,9.75,295.06
