run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+DFRL_matmul_B30_s0_b042764,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,25,5,83.3,component_count,46.0,46.0,448,2,46.42,46.480340936999866,0,0,,0,0,0,0.3127100000028804,2.2614689999045368,57.76675799995701
PA-DSE_SCF+DFRL_matmul_B30_s1_f2c5729,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,46.0,46.0,414,3,124.26,124.32040394200027,0,0,,0,0,0,0.36861099999896396,2.077863000238267,57.957468000040535
PA-DSE_SCF+DFRL_matmul_B30_s2_c1d9385,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,46.0,46.0,414,2,123.74,123.80018383199992,0,0,,0,0,0,0.3754109999931643,2.040061999906584,57.768359000021974
PA-DSE_SCF+DFRL_matmul_B30_s3_167741e,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,3,SCF+DFRL,2,0.8,5,0.05,30,26,4,86.7,component_count,46.0,46.0,448,3,4.04,4.100182731999902,0,0,,0,0,0,0.34360999998739317,2.082464999887179,57.75665700002719
PA-DSE_SCF+DFRL_matmul_B30_s4_36826e7,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,4,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,46.0,46.0,414,2,4.1,4.160386932999905,0,0,,0,0,0,0.3479099999879054,2.0702600000390703,57.9687629998773
PA-DSE_SCF+DFRL_matmul_B30_s5_74fa8e5,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,5,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,46.0,46.0,414,3,3.21,3.2703653390000715,0,0,,0,0,0,0.3446110000027147,2.0510640001702996,57.96966399989856
PA-DSE_SCF+DFRL_matmul_B30_s6_9c12441,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,6,SCF+DFRL,2,0.8,5,0.05,30,29,1,96.7,component_count,46.0,46.0,414,2,3.55,3.6101916329999595,0,0,,0,0,0,0.34811099999387807,2.1184649999383964,57.72505700002739
PA-DSE_SCF+DFRL_matmul_B30_s7_ad86195,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,7,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,46.0,46.0,414,3,45.47,45.53027723799994,0,0,,0,0,0,0.37021099998924,2.042262999907507,57.86476400004403
PA-DSE_SCF+DFRL_matmul_B30_s8_3f5c081,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,8,SCF+DFRL,2,0.8,5,0.05,30,28,2,93.3,component_count,46.0,46.0,414,3,3.62,3.68023693100002,0,0,,0,0,0,0.34301000002301407,2.028159999952095,57.86576100004481
PA-DSE_SCF+DFRL_matmul_B30_s9_3933ce2,PA-DSE_SCF+DFRL,matmul,dynamatic,30,,9,SCF+DFRL,2,0.8,5,0.05,30,27,3,90.0,component_count,46.0,46.0,414,4,17.09,17.15063824500012,0,0,,0,0,0,0.35131100000285187,2.048361000049681,58.23857300006807
PA-DSE_SCF+DFRL_vadd_B30_s0_200dbf1,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,5,2.53,2.6131348279998563,0,0,,0,0,0,11.851661000008562,2.990589999939175,68.29257699990876
PA-DSE_SCF+DFRL_vadd_B30_s1_c408775,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,6,2.4,2.470632848000031,0,0,,0,0,0,0.35201099998971586,2.447776000082058,67.83306099995912
PA-DSE_SCF+DFRL_vadd_B30_s2_30ac0be,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,6,2.07,2.1322480950000577,0,0,,0,0,0,0.3672109999968143,2.1949679999977434,59.685916000063344
PA-DSE_SCF+DFRL_vadd_B30_s3_4978e90,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,3,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,9,2.4,2.459960123000053,0,0,,0,0,0,0.38471199999889905,2.08556000001181,57.489851000042336
PA-DSE_SCF+DFRL_vadd_B30_s4_339c267,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,4,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,6,2.42,2.4800891270000545,0,0,,0,0,0,0.3697109999905024,2.083764000019528,57.6356520000445
PA-DSE_SCF+DFRL_vadd_B30_s5_ea16213,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,5,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,6,1.62,1.6805261450000968,0,0,,0,0,0,0.37051099999985126,2.04836400010322,58.107269999993605
PA-DSE_SCF+DFRL_vadd_B30_s6_0f7d733,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,6,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,105,3,1.98,2.039847222000144,0,0,,0,0,0,0.37451099998975224,2.0860620000462404,57.38664900010804
PA-DSE_SCF+DFRL_vadd_B30_s7_945afdb,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,7,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,7,2.06,2.1204741380000462,0,0,,0,0,0,0.35851000001230204,2.073062999869535,58.04256500016436
PA-DSE_SCF+DFRL_vadd_B30_s8_07e02c4,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,8,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,6,2.0,2.0607763499999407,0,0,,0,0,0,0.3556110000033641,2.0573589999060005,58.363380000031384
PA-DSE_SCF+DFRL_vadd_B30_s9_9c8c8cd,PA-DSE_SCF+DFRL,vadd,dynamatic,30,,9,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,31.0,31.0,103,7,2.48,2.5401835269999355,0,0,,0,0,0,0.3659110000171495,2.0564619999277056,57.76115399999071
PA-DSE_SCF+DFRL_fir_B30_s0_13dbfaf,PA-DSE_SCF+DFRL,fir,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,6,2.79,2.8553307859998904,0,0,,0,0,0,5.571970000005422,2.061962999988509,57.696852999896464
PA-DSE_SCF+DFRL_fir_B30_s1_2cc0ae1,PA-DSE_SCF+DFRL,fir,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,7,2.5,2.5603690379999477,0,0,,0,0,0,0.3780109999809156,2.0586640000885836,57.93236299987825
PA-DSE_SCF+DFRL_fir_B30_s2_68a8630,PA-DSE_SCF+DFRL,fir,dynamatic,30,,2,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,7,2.17,2.230194827999936,0,0,,0,0,0,0.3504100000100152,2.0433629998990455,57.80105500002719
PA-DSE_SCF+DFRL_fir_B30_s3_db2d65a,PA-DSE_SCF+DFRL,fir,dynamatic,30,,3,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,10,2.49,2.5501012299999015,0,0,,0,0,0,0.3529109999931279,2.0916679999345433,57.656650999973635
PA-DSE_SCF+DFRL_fir_B30_s4_e6d14c1,PA-DSE_SCF+DFRL,fir,dynamatic,30,,4,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,6,2.44,2.5002062350002654,0,0,,0,0,0,0.3683110000167744,2.052464000200871,57.785460000047806
PA-DSE_SCF+DFRL_fir_B30_s5_5ff2745,PA-DSE_SCF+DFRL,fir,dynamatic,30,,5,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,7,1.79,1.8502981840000894,0,0,,0,0,0,0.37051099999985126,2.03136200013887,57.89631099995063
PA-DSE_SCF+DFRL_fir_B30_s6_52027d1,PA-DSE_SCF+DFRL,fir,dynamatic,30,,6,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,115,3,2.06,2.119912252999993,0,0,,0,0,0,0.3478109999832668,2.0401599999786413,57.524282000031235
PA-DSE_SCF+DFRL_fir_B30_s7_1ddcf29,PA-DSE_SCF+DFRL,fir,dynamatic,30,,7,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,8,2.17,2.23015596300017,0,0,,0,0,0,0.3497109999841541,2.0564630002581907,57.74978899992789
PA-DSE_SCF+DFRL_fir_B30_s8_e0ea813,PA-DSE_SCF+DFRL,fir,dynamatic,30,,8,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,9,2.06,2.120524561999955,0,0,,0,0,0,0.3442100000086157,2.0533569999372503,58.126995000009174
PA-DSE_SCF+DFRL_fir_B30_s9_a1982df,PA-DSE_SCF+DFRL,fir,dynamatic,30,,9,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,33.0,33.0,111,7,2.51,2.5703359660000533,0,0,,0,0,0,0.3556100000139395,2.0465610000712786,57.93379499996831
PA-DSE_SCF+DFRL_histogram_B30_s0_3934bf3,PA-DSE_SCF+DFRL,histogram,dynamatic,30,,0,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,43.0,43.0,141,9,2.98,3.0455416219998415,0,0,,0,0,0,5.622164999977031,2.0751629998869703,57.84429399997748
PA-DSE_SCF+DFRL_histogram_B30_s1_340262a,PA-DSE_SCF+DFRL,histogram,dynamatic,30,,1,SCF+DFRL,2,0.8,5,0.05,30,30,0,100.0,component_count,42.0,42.0,141,16,2.72,2.7802502609998228,0,0,,0,0,0,0.34641000002011424,2.0576579998135003,57.84619299998894
