run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+DFRL_matmul_B60_sNone_1692844,PA-DSE_SCF+DFRL,matmul,bambu,60,,0,SCF+DFRL,2,0.7,5,0.05,60,54,6,90.0,area,429.0,429.0,9,20,16.644,145.018,0,0,,0,0,0,8.04,14.76,298.91
PA-DSE_SCF+DFRL_matmul_B60_sNone_1837862,PA-DSE_SCF+DFRL,matmul,bambu,60,,1,SCF+DFRL,2,0.7,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,9.59,145.678,0,0,,0,0,0,4.23,14.77,292.17
PA-DSE_SCF+DFRL_matmul_B60_sNone_1983541,PA-DSE_SCF+DFRL,matmul,bambu,60,,2,SCF+DFRL,2,0.7,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.424,145.974,0,0,,0,0,0,3.51,14.65,293.25
PA-DSE_SCF+DFRL_matmul_B60_sNone_2129515,PA-DSE_SCF+DFRL,matmul,bambu,60,,3,SCF+DFRL,2,0.7,5,0.05,60,56,4,93.3,area,429.0,429.0,9,20,2.47,147.286,0,0,,0,0,0,4.78,15.5,293.84
PA-DSE_SCF+DFRL_matmul_B60_sNone_2276801,PA-DSE_SCF+DFRL,matmul,bambu,60,,4,SCF+DFRL,2,0.7,5,0.05,60,55,5,91.7,area,429.0,429.0,9,20,14.429,145.959,0,0,,0,0,0,4.55,15.59,286.04
PA-DSE_SCF+DFRL_vadd_B60_sNone_2422760,PA-DSE_SCF+DFRL,vadd,bambu,60,,0,SCF+DFRL,2,0.7,5,0.05,60,54,6,90.0,area,201.0,201.0,5,8,16.519,142.627,0,0,,0,0,0,3.26,14.85,287.04
PA-DSE_SCF+DFRL_vadd_B60_sNone_2565387,PA-DSE_SCF+DFRL,vadd,bambu,60,,1,SCF+DFRL,2,0.7,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,9.376,143.399,0,0,,0,0,0,2.99,15.92,300.37
PA-DSE_SCF+DFRL_vadd_B60_sNone_2708787,PA-DSE_SCF+DFRL,vadd,bambu,60,,2,SCF+DFRL,2,0.7,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.391,143.552,0,0,,0,0,0,3.31,14.83,297.61
PA-DSE_SCF+DFRL_vadd_B60_sNone_2852339,PA-DSE_SCF+DFRL,vadd,bambu,60,,3,SCF+DFRL,2,0.7,5,0.05,60,56,4,93.3,area,201.0,201.0,5,8,2.4,143.517,0,0,,0,0,0,3.28,15.34,293.22
PA-DSE_SCF+DFRL_vadd_B60_sNone_2995857,PA-DSE_SCF+DFRL,vadd,bambu,60,,4,SCF+DFRL,2,0.7,5,0.05,60,55,5,91.7,area,201.0,201.0,5,8,14.113,142.445,0,0,,0,0,0,3.33,15.18,290.67
