run_id,strategy,benchmark,tool,budget,seed,queue_permutation_id,ablation_config,tau,theta,n_min,p_probe,total_evals,successful_evals,wasted_calls,sr_pct,best_qor_name,best_qor_value,best_area,best_latency,uqor,ttff_s,total_wall_clock_s,total_skipped,false_skips_pending,false_skips_verified,signatures_learned,probes_triggered,probes_succeeded,overhead_phago_ms,overhead_rpe_ms,overhead_ofrs_ms
PA-DSE_SCF+DFRL_matmul_B120_sNone_1866748,PA-DSE_SCF+DFRL,matmul,bambu,120,,0,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,429.0,429.0,9,20,16.771,155.953,216,216,,1,1,0,3.35,23.30,318.53
PA-DSE_SCF+DFRL_matmul_B120_sNone_2022702,PA-DSE_SCF+DFRL,matmul,bambu,120,,1,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,429.0,429.0,9,20,9.841,157.241,216,216,,1,1,0,3.84,22.87,309.96
PA-DSE_SCF+DFRL_matmul_B120_sNone_2179943,PA-DSE_SCF+DFRL,matmul,bambu,120,,2,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,429.0,429.0,9,20,2.458,157.120,216,216,,1,1,0,5.28,23.03,310.81
PA-DSE_SCF+DFRL_matmul_B120_sNone_2337063,PA-DSE_SCF+DFRL,matmul,bambu,120,,3,SCF+DFRL,2,0.7,5,0.05,63,56,7,88.9,area,429.0,429.0,9,20,2.515,154.464,217,217,,1,1,0,4.08,23.87,297.50
PA-DSE_SCF+DFRL_matmul_B120_sNone_2491527,PA-DSE_SCF+DFRL,matmul,bambu,120,,4,SCF+DFRL,2,0.7,5,0.05,63,56,7,88.9,area,429.0,429.0,9,20,14.520,154.251,217,217,,1,1,0,3.90,22.73,313.98
PA-DSE_SCF+DFRL_vadd_B120_sNone_2645779,PA-DSE_SCF+DFRL,vadd,bambu,120,,0,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,201.0,201.0,5,8,16.708,153.893,216,216,,1,1,0,2.45,23.76,307.59
PA-DSE_SCF+DFRL_vadd_B120_sNone_2799672,PA-DSE_SCF+DFRL,vadd,bambu,120,,1,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,201.0,201.0,5,8,9.672,154.457,216,216,,1,1,0,2.65,22.56,314.57
PA-DSE_SCF+DFRL_vadd_B120_sNone_2954130,PA-DSE_SCF+DFRL,vadd,bambu,120,,2,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,201.0,201.0,5,8,2.400,154.403,216,216,,1,1,0,2.98,22.90,319.97
PA-DSE_SCF+DFRL_vadd_B120_sNone_3108533,PA-DSE_SCF+DFRL,vadd,bambu,120,,3,SCF+DFRL,2,0.7,5,0.05,63,56,7,88.9,area,201.0,201.0,5,8,2.410,152.642,217,217,,1,1,0,2.71,23.16,307.86
PA-DSE_SCF+DFRL_vadd_B120_sNone_3261175,PA-DSE_SCF+DFRL,vadd,bambu,120,,4,SCF+DFRL,2,0.7,5,0.05,63,56,7,88.9,area,201.0,201.0,5,8,14.313,151.042,217,217,,1,1,0,2.40,23.19,309.38
PA-DSE_SCF+DFRL_fir_B120_sNone_3412218,PA-DSE_SCF+DFRL,fir,bambu,120,,0,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,262.0,262.0,8,19,16.846,155.031,216,216,,1,1,0,4.24,26.14,298.25
PA-DSE_SCF+DFRL_fir_B120_sNone_3567249,PA-DSE_SCF+DFRL,fir,bambu,120,,1,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,262.0,262.0,8,19,9.673,156.375,216,216,,1,1,0,5.75,22.66,306.93
PA-DSE_SCF+DFRL_fir_B120_sNone_3723624,PA-DSE_SCF+DFRL,fir,bambu,120,,2,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,262.0,262.0,8,19,2.446,155.472,216,216,,1,1,0,4.18,22.34,314.22
PA-DSE_SCF+DFRL_fir_B120_sNone_3879096,PA-DSE_SCF+DFRL,fir,bambu,120,,3,SCF+DFRL,2,0.7,5,0.05,63,56,7,88.9,area,262.0,262.0,8,19,2.434,153.139,217,217,,1,1,0,5.54,23.54,305.31
PA-DSE_SCF+DFRL_fir_B120_sNone_4032236,PA-DSE_SCF+DFRL,fir,bambu,120,,4,SCF+DFRL,2,0.7,5,0.05,63,56,7,88.9,area,262.0,262.0,8,19,14.476,153.362,217,217,,1,1,0,4.14,24.02,308.67
PA-DSE_SCF+DFRL_histogram_B120_sNone_4185599,PA-DSE_SCF+DFRL,histogram,bambu,120,,0,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,359.0,359.0,8,13,17.024,157.062,216,216,,1,1,0,4.84,23.17,310.31
PA-DSE_SCF+DFRL_histogram_B120_sNone_4342661,PA-DSE_SCF+DFRL,histogram,bambu,120,,1,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,359.0,359.0,8,13,9.701,157.303,216,216,,1,1,0,4.98,22.72,308.47
PA-DSE_SCF+DFRL_histogram_B120_sNone_4499964,PA-DSE_SCF+DFRL,histogram,bambu,120,,2,SCF+DFRL,2,0.7,5,0.05,64,56,8,87.5,area,359.0,359.0,8,13,2.460,157.256,216,216,,1,1,0,5.26,23.32,309.58
