run_id,event,eval_step,signature_id,error_type,conditions,conf,n_fail,n_counter,subsumed_signature_id
PA-DSE_SCF+DFRL_matmul_B120_sNone_1866748,activated,63,82128,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_1866748,updated,64,82128,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2022702,activated,63,93504,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2022702,updated,64,93504,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2179943,activated,63,82368,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2179943,updated,64,82368,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2337063,activated,62,92640,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2491527,activated,62,93264,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_matmul_B120_sNone_2491527,updated,63,93264,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_2645779,activated,63,92016,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_2645779,updated,64,92016,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_2799672,activated,63,82128,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_2799672,updated,64,82128,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_2954130,activated,63,91824,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_2954130,updated,64,91824,generic_error,"{""pipeline"": ""True""}",0.7500,6,0,
PA-DSE_SCF+DFRL_vadd_B120_sNone_3108533,activated,62,90528,generic_error,"{""pipeline"": ""True""}",0.7143,5,0,
